customer_id,tenure,event_observed,churn_prob_within_6m,churn_prob_within_12m,churn_prob_within_24m,survival_risk_tier
4229-CZMLL,6,1,0.3804,0.5129,0.6764,High
6996-KNSML,1,1,0.3804,0.5129,0.6764,High
6711-FLDFB,7,1,0.3804,0.5129,0.6764,High
3858-VOBET,23,1,0.3804,0.5129,0.6764,High
3030-YDNRM,8,0,0.3805,0.5129,0.6765,High
1157-BQCUW,1,1,0.3804,0.5129,0.6764,High
3199-XGZCY,8,0,0.3803,0.5128,0.6763,High
8325-QRPZR,7,0,0.3803,0.5128,0.6763,High
1452-VOQCH,1,0,0.3804,0.5128,0.6764,High
8816-VXNZD,1,1,0.3804,0.5128,0.6764,High
0840-DFEZH,7,0,0.3803,0.5127,0.6763,High
9787-XVQIU,1,1,0.3803,0.5127,0.6763,High
1320-HTRDR,3,1,0.3802,0.5127,0.6762,High
5834-ASPWA,1,1,0.3802,0.5127,0.6762,High
7817-BOQPW,2,1,0.3802,0.5126,0.6762,High
5196-SGOAK,1,1,0.3802,0.5126,0.6761,High
4749-OJKQU,4,0,0.3802,0.5126,0.6761,High
5159-YFPKQ,2,1,0.3801,0.5125,0.6761,High
7354-OIJLX,9,0,0.3801,0.5125,0.676,High
1618-CFHME,2,1,0.3801,0.5125,0.676,High
4581-SSPWD,3,1,0.3801,0.5125,0.6761,High
8443-ZRDBZ,4,1,0.38,0.5124,0.676,High
8486-AYEQH,31,0,0.38,0.5124,0.676,High
5928-QLDHB,9,0,0.38,0.5123,0.6759,High
0637-KVDLV,2,1,0.3799,0.5122,0.6758,High
1092-GANHU,17,1,0.3798,0.5122,0.6757,High
7625-XCQRH,11,1,0.3799,0.5122,0.6758,High
5835-BEQEU,3,1,0.3797,0.5121,0.6756,High
1219-NNDDO,9,0,0.3798,0.5121,0.6756,High
2609-IAICY,1,1,0.3797,0.512,0.6755,High
0475-RIJEP,43,1,0.3794,0.5117,0.6752,High
4013-TLDHQ,19,1,0.3793,0.5115,0.675,High
9837-BMCLM,3,1,0.3792,0.5114,0.6749,High
8740-CRYFY,1,1,0.3791,0.5113,0.6747,High
6311-UEUME,29,1,0.3791,0.5113,0.6748,High
7638-QVMVY,7,1,0.379,0.5112,0.6747,High
4210-QFJMF,4,1,0.379,0.5112,0.6747,High
4816-LXZYW,23,1,0.379,0.5112,0.6747,High
5960-WPXQM,1,1,0.379,0.5112,0.6747,High
8752-STIVR,4,1,0.379,0.5112,0.6747,High
7493-TPUWZ,1,1,0.379,0.5112,0.6747,High
6298-QDFNH,22,1,0.3789,0.5111,0.6746,High
1678-FYZOW,3,1,0.3789,0.5111,0.6746,High
3422-GALYP,2,0,0.3789,0.5111,0.6745,High
2868-MZAGQ,1,1,0.379,0.5111,0.6746,High
1918-ZBFQJ,13,1,0.379,0.5111,0.6746,High
2026-TGDHM,7,1,0.3789,0.5111,0.6746,High
1761-AEZZR,1,1,0.3789,0.511,0.6745,High
6437-UKHMV,7,1,0.3788,0.511,0.6744,High
0872-NXJYS,9,1,0.3789,0.511,0.6745,High
2514-GINMM,1,1,0.3789,0.511,0.6745,High
8058-INTPH,1,1,0.3788,0.511,0.6745,High
0495-RVCBF,1,1,0.3788,0.511,0.6744,High
4234-XTNEA,2,0,0.3787,0.5109,0.6743,High
2154-KVJFF,15,1,0.3788,0.5109,0.6744,High
4806-KEXQR,4,1,0.3787,0.5109,0.6744,High
6941-PMGEP,5,1,0.3787,0.5109,0.6743,High
5364-EVNIB,13,1,0.3788,0.5109,0.6744,High
1981-INRFU,2,1,0.3788,0.5109,0.6744,High
9300-RENDD,1,1,0.3787,0.5109,0.6743,High
9689-PTNPG,2,1,0.3786,0.5108,0.6742,High
8086-OVPWV,2,1,0.3786,0.5108,0.6742,High
2359-KMGLI,24,1,0.3786,0.5108,0.6742,High
4529-CKBCL,2,1,0.3786,0.5108,0.6742,High
5494-HECPR,1,1,0.3786,0.5108,0.6742,High
8819-IMISP,31,0,0.3786,0.5107,0.6741,High
9921-ZVRHG,14,1,0.3786,0.5107,0.6741,High
6357-JJPQT,3,0,0.3785,0.5107,0.6741,High
2789-HQBOU,3,0,0.3786,0.5107,0.6742,High
0928-XUTSN,13,0,0.3785,0.5107,0.6741,High
8854-CCVSQ,18,1,0.3785,0.5106,0.674,High
7439-DKZTW,1,0,0.3785,0.5106,0.6741,High
6103-BOCOU,26,0,0.3785,0.5106,0.674,High
7760-OYPDY,2,1,0.3785,0.5106,0.674,High
7563-BIUPC,5,1,0.3785,0.5106,0.6741,High
3956-MGXOG,28,0,0.3785,0.5106,0.6741,High
2612-RRIDN,4,1,0.3784,0.5105,0.6739,High
7703-ZEKEF,23,1,0.3784,0.5105,0.6739,High
5228-EXCET,13,1,0.3784,0.5105,0.674,High
6000-APYLU,9,1,0.3784,0.5105,0.674,High
6457-USBER,1,1,0.3784,0.5105,0.674,High
9878-TNQGW,2,1,0.3784,0.5105,0.6739,High
5650-YLIBA,31,0,0.3783,0.5104,0.6738,High
9625-QSTYE,13,1,0.3783,0.5104,0.6738,High
4614-NUVZD,1,1,0.3783,0.5104,0.6739,High
5022-KVDQT,27,0,0.3783,0.5103,0.6738,High
1508-DFXCU,12,0,0.3782,0.5103,0.6737,High
6968-GMKPR,55,0,0.3782,0.5103,0.6737,High
2004-OCQXK,1,1,0.3781,0.5101,0.6735,High
7314-OXENN,2,1,0.3781,0.5101,0.6735,High
0742-NXBGR,1,1,0.378,0.51,0.6734,High
3744-ZRRDZ,21,1,0.3779,0.5099,0.6734,High
0689-NKYLF,13,1,0.3777,0.5096,0.673,High
3550-SAHFP,33,1,0.3776,0.5096,0.673,High
8931-GJJIQ,9,1,0.3776,0.5096,0.673,High
7346-MEDWM,59,0,0.3777,0.5096,0.673,High
3365-SAIGS,17,0,0.3776,0.5095,0.6729,High
3223-WZWJM,26,1,0.3774,0.5094,0.6727,High
5628-FCGYG,21,0,0.3774,0.5093,0.6727,High
8739-XNIKG,5,0,0.3774,0.5093,0.6727,High
7005-CCBKV,6,1,0.3773,0.5092,0.6726,High
7613-LLQFO,12,1,0.3773,0.5092,0.6725,High
4822-NGOCH,13,1,0.3773,0.5092,0.6725,High
3714-NTNFO,49,0,0.3773,0.5091,0.6725,High
4912-PIGUY,1,0,0.3772,0.5091,0.6725,High
7517-LDMPS,12,0,0.3772,0.5091,0.6725,High
2362-IBOOY,36,1,0.3772,0.5091,0.6724,High
5889-LFOLL,13,1,0.3772,0.5091,0.6725,High
0362-ZBZWJ,36,1,0.3771,0.509,0.6724,High
9282-IZGQK,1,1,0.3771,0.509,0.6723,High
1766-GKNMI,29,0,0.3771,0.509,0.6724,High
7586-ZATGZ,40,0,0.3771,0.509,0.6724,High
2379-ENZGV,6,1,0.3772,0.509,0.6724,High
2202-CUYXZ,1,1,0.3772,0.509,0.6724,High
4822-YCXMX,25,1,0.3772,0.509,0.6724,High
1628-BIZYP,1,0,0.3771,0.509,0.6723,High
2952-QAYZF,5,1,0.377,0.5089,0.6722,High
4548-SDBKE,5,1,0.377,0.5089,0.6723,High
8593-WHYHV,3,1,0.377,0.5089,0.6722,High
6331-EWIEB,20,1,0.377,0.5089,0.6722,High
7831-QGOXH,18,1,0.377,0.5089,0.6723,High
3138-BKYAV,6,1,0.377,0.5088,0.6722,High
2691-NZETQ,9,1,0.377,0.5088,0.6722,High
2215-ZAFGX,9,0,0.377,0.5088,0.6721,High
4143-HHPMK,52,1,0.377,0.5088,0.6722,High
5597-GLBUC,1,1,0.377,0.5088,0.6722,High
0697-ZMSWS,4,1,0.3769,0.5087,0.6721,High
0259-GBZSH,2,1,0.3769,0.5087,0.6721,High
1143-NMNQJ,2,1,0.3769,0.5087,0.6721,High
5226-NOZFC,26,0,0.3769,0.5087,0.6721,High
0220-EBGCE,2,1,0.3768,0.5087,0.672,High
7488-MXJIV,4,1,0.3769,0.5087,0.6721,High
6474-FVJLC,2,1,0.3768,0.5086,0.672,High
2876-GZYZC,13,0,0.3768,0.5086,0.672,High
5989-PGKJB,16,0,0.3767,0.5085,0.6719,High
8337-MSSXB,14,1,0.3767,0.5085,0.6718,High
8603-IJWDN,1,1,0.3766,0.5084,0.6717,High
7858-GTZSP,12,0,0.3766,0.5084,0.6717,High
6352-TWCAU,35,1,0.3767,0.5084,0.6718,High
5229-PRWKT,8,1,0.3766,0.5084,0.6717,High
9451-LPGOO,7,1,0.3766,0.5083,0.6717,High
6979-ZNSFF,8,1,0.3765,0.5082,0.6716,High
3722-WPXTK,1,1,0.3761,0.5078,0.6711,High
6087-MVHJH,16,1,0.3761,0.5077,0.671,High
7228-OMTPN,4,1,0.3761,0.5077,0.671,High
4951-UKAAQ,4,1,0.3759,0.5076,0.6709,High
5366-IJEQJ,20,1,0.376,0.5076,0.671,High
1455-ESIQH,1,1,0.3759,0.5075,0.6708,High
5429-LWCMV,12,0,0.3759,0.5075,0.6708,High
1173-XZPYF,11,0,0.3758,0.5075,0.6708,High
9053-EJUNL,41,0,0.3758,0.5075,0.6708,High
2990-HWIML,6,1,0.3758,0.5074,0.6707,High
4112-LUEIZ,10,1,0.3758,0.5074,0.6707,High
7577-SWIFR,1,0,0.3758,0.5074,0.6707,High
9611-CTWIH,3,1,0.3758,0.5074,0.6707,High
0970-ETWGE,1,1,0.3757,0.5073,0.6706,High
5348-CAGXB,12,0,0.3757,0.5073,0.6706,High
3462-BJQQA,6,0,0.3757,0.5073,0.6706,High
1307-ATKGB,24,0,0.3757,0.5073,0.6706,High
4183-MYFRB,21,0,0.3756,0.5072,0.6705,High
8780-IXSTS,6,1,0.3756,0.5072,0.6704,High
8182-BJDSI,28,1,0.3756,0.5072,0.6705,High
3027-ZTDHO,1,1,0.3756,0.5072,0.6705,High
4228-ZGYUW,4,1,0.3756,0.5072,0.6705,High
3640-PHQXK,31,1,0.3756,0.5072,0.6705,High
6032-KRXXO,30,1,0.3755,0.5071,0.6704,High
4873-ILOLJ,24,1,0.3755,0.5071,0.6703,High
2034-GDRCN,2,1,0.3755,0.5071,0.6703,High
7274-RTAPZ,1,1,0.3755,0.507,0.6703,High
1579-KLYDT,7,1,0.3755,0.507,0.6703,High
7330-WZLNC,5,1,0.3754,0.5069,0.6702,High
1195-OIYEJ,13,1,0.3753,0.5068,0.6701,High
2672-HUYVI,6,1,0.3753,0.5068,0.6701,High
9546-CQJSU,2,1,0.3752,0.5067,0.67,High
5712-AHQNN,43,0,0.3751,0.5066,0.6699,High
3318-NMQXL,3,0,0.375,0.5065,0.6698,High
2462-XIIJB,5,1,0.3749,0.5063,0.6696,High
6986-IXNDM,14,0,0.3748,0.5062,0.6694,High
0236-HFWSV,15,1,0.3747,0.5061,0.6693,High
2985-FMWYF,23,0,0.3746,0.506,0.6692,High
8149-RSOUN,1,1,0.3745,0.5059,0.6691,High
4626-GYCZP,7,1,0.3745,0.5059,0.6691,High
8161-QYMTT,7,0,0.3744,0.5058,0.669,High
8087-LGYHQ,9,0,0.3745,0.5058,0.669,High
1567-DSCIC,8,1,0.3745,0.5058,0.6691,High
9360-OMDZZ,24,0,0.3744,0.5058,0.669,High
2645-QTLMB,7,1,0.3744,0.5058,0.669,High
5519-NPHVG,12,1,0.3744,0.5058,0.669,High
5899-OUVKV,31,0,0.3743,0.5057,0.6689,High
3045-XETSH,10,1,0.3742,0.5056,0.6688,High
7943-RQCHR,9,1,0.3743,0.5056,0.6688,High
0325-XBFAC,8,1,0.3743,0.5056,0.6688,High
4910-GMJOT,1,1,0.3743,0.5056,0.6689,High
7851-WZEKY,2,1,0.3742,0.5055,0.6687,High
7209-JCUDS,10,1,0.3742,0.5055,0.6687,High
5382-SOYZL,22,0,0.3742,0.5055,0.6687,High
9944-HKVVB,3,1,0.3742,0.5055,0.6687,High
1960-UYCNN,10,0,0.3741,0.5054,0.6686,High
8357-EQXFO,7,1,0.3741,0.5054,0.6686,High
0295-PPHDO,1,1,0.3741,0.5054,0.6686,High
0564-JJHGS,9,1,0.3741,0.5053,0.6685,High
6212-ATMLK,50,0,0.374,0.5053,0.6685,High
0754-UKWQP,2,1,0.374,0.5052,0.6684,High
2180-DXNEG,12,1,0.3739,0.5052,0.6684,High
3158-MOERK,2,1,0.3739,0.5052,0.6684,High
7526-BEZQB,12,1,0.3739,0.5052,0.6684,High
7548-SEPYI,5,1,0.3739,0.5051,0.6683,High
9057-SIHCH,3,1,0.3738,0.505,0.6682,High
1264-BYWMS,55,1,0.3737,0.5049,0.6681,High
7969-AULMZ,21,1,0.3736,0.5048,0.6679,High
4735-ASGMA,26,1,0.3733,0.5044,0.6676,High
7079-QRCBC,24,1,0.3732,0.5043,0.6674,High
5649-RXQTV,51,0,0.3731,0.5042,0.6674,High
6907-NZZIJ,36,1,0.3731,0.5042,0.6673,High
4009-ALQFH,25,1,0.373,0.5041,0.6672,High
9305-CDSKC,8,1,0.3729,0.504,0.6672,High
3811-VBYBZ,7,1,0.3729,0.504,0.6671,High
9094-AZPHK,15,0,0.3728,0.5039,0.667,High
4817-VYYWS,30,1,0.3728,0.5039,0.667,High
5883-GTGVD,19,1,0.3729,0.5039,0.6671,High
8709-KRDVL,33,0,0.3729,0.5039,0.667,High
1666-JXLKU,37,0,0.3728,0.5039,0.667,High
9681-OXGVC,5,1,0.3727,0.5038,0.6669,High
3393-FMZPV,25,1,0.3728,0.5038,0.667,High
0939-YAPAF,35,1,0.3728,0.5038,0.667,High
4078-SAYYN,11,1,0.3727,0.5037,0.6668,High
6615-NGGZJ,14,1,0.3727,0.5037,0.6669,High
2968-SSGAA,10,1,0.3727,0.5037,0.6668,High
7392-YYPYJ,22,0,0.3727,0.5037,0.6668,High
6023-YEBUP,3,1,0.3726,0.5036,0.6667,High
2809-ZMYOQ,32,0,0.3725,0.5035,0.6666,High
3663-MITLP,15,1,0.3725,0.5035,0.6666,High
2603-HVKCG,31,0,0.3725,0.5035,0.6666,High
5419-JPRRN,1,1,0.3725,0.5035,0.6666,High
9600-NAXZN,43,1,0.3725,0.5035,0.6666,High
1723-HKXJQ,42,1,0.3724,0.5034,0.6665,High
4062-HBMOS,52,0,0.3721,0.503,0.6661,High
9801-GDWGV,39,1,0.372,0.5029,0.6659,High
8313-NDOIA,24,0,0.3718,0.5027,0.6657,High
9851-QXEEQ,41,1,0.3717,0.5025,0.6655,High
8868-WOZGU,28,1,0.3714,0.5022,0.6652,High
7752-XUSCI,60,1,0.3714,0.5021,0.6652,High
0337-CNPZE,41,1,0.3713,0.502,0.665,High
8938-UMKPI,47,1,0.3712,0.502,0.665,High
5630-IXDXV,47,0,0.3712,0.502,0.665,High
5380-WJKOV,34,1,0.3712,0.502,0.665,High
2027-FECZV,12,1,0.3712,0.5019,0.6649,High
4550-EVXNY,1,1,0.3529,0.48,0.6415,Medium
1077-HUUJM,7,0,0.3524,0.4794,0.6408,Medium
8380-PEFPE,1,1,0.3522,0.4791,0.6406,Medium
7206-GZCDC,1,1,0.352,0.4789,0.6403,Medium
5539-TMZLF,1,1,0.3518,0.4787,0.6401,Medium
3999-QGRJH,8,1,0.3518,0.4787,0.6401,Medium
8062-YBDOE,1,1,0.3518,0.4787,0.6401,Medium
1016-DJTSV,8,0,0.3518,0.4787,0.6401,Medium
4871-JTKJF,1,1,0.3518,0.4787,0.6401,Medium
5276-KQWHG,2,1,0.3518,0.4787,0.6401,Medium
2636-ALXXZ,1,1,0.3518,0.4787,0.6401,Medium
8375-DKEBR,1,1,0.3518,0.4787,0.6401,Medium
5550-VFRLC,1,1,0.3517,0.4786,0.64,Medium
8000-REIQB,1,1,0.3517,0.4786,0.64,Medium
1846-XWOQN,1,1,0.3516,0.4785,0.6399,Medium
9603-OAIHC,1,0,0.3517,0.4785,0.6399,Medium
9605-WGJVW,1,0,0.3516,0.4785,0.6399,Medium
2055-PDADH,3,1,0.3516,0.4784,0.6398,Medium
5804-LEPIM,2,1,0.3516,0.4784,0.6398,Medium
6168-WFVVF,3,1,0.3516,0.4784,0.6398,Medium
8051-HJRLT,1,1,0.3515,0.4783,0.6397,Medium
0644-OQMDK,4,0,0.3515,0.4783,0.6396,Medium
4342-HENTK,2,1,0.3515,0.4783,0.6396,Medium
9488-HGMJH,1,1,0.3513,0.4781,0.6394,Medium
3878-AVSOQ,1,0,0.3513,0.478,0.6394,Medium
8372-JUXUI,1,1,0.3512,0.478,0.6394,Medium
8644-XLFBW,1,1,0.3511,0.4779,0.6392,Medium
0021-IKXGC,1,0,0.351,0.4777,0.639,Medium
5054-IEXZT,1,1,0.3509,0.4776,0.6389,Medium
1907-UBQFC,10,1,0.3507,0.4774,0.6386,Medium
1977-STDKI,1,1,0.3506,0.4773,0.6386,Medium
1689-YQBYY,12,0,0.3505,0.4771,0.6384,Medium
0650-BWOZN,18,0,0.3505,0.4771,0.6383,Medium
8473-VUVJN,1,1,0.3504,0.477,0.6383,Medium
2091-RFFBA,31,1,0.3503,0.4769,0.6382,Medium
6860-YRJZP,9,0,0.3503,0.4769,0.6381,Medium
1833-VGRUM,1,1,0.3502,0.4768,0.638,Medium
4441-NIHPT,13,1,0.3502,0.4768,0.638,Medium
2272-QAGFO,14,1,0.3502,0.4768,0.638,Medium
9947-OTFQU,15,1,0.3502,0.4767,0.638,Medium
3488-PGMQJ,8,1,0.3501,0.4767,0.6379,Medium
1197-BVMVG,4,0,0.3502,0.4767,0.6379,Medium
3551-HUAZH,1,1,0.3502,0.4767,0.638,Medium
0709-TVGUR,9,1,0.3501,0.4767,0.6379,Medium
6022-UGGSO,32,1,0.3502,0.4767,0.638,Medium
0439-IFYUN,18,0,0.3501,0.4766,0.6378,Medium
5240-IJOQT,1,1,0.3501,0.4766,0.6378,Medium
2761-OCIAX,2,1,0.3501,0.4766,0.6378,Medium
0722-TROQR,4,1,0.35,0.4765,0.6377,Medium
9685-WKZGT,14,1,0.35,0.4765,0.6377,Medium
4988-IQIGL,1,1,0.3499,0.4763,0.6375,Medium
7130-VTEWQ,8,1,0.3497,0.4762,0.6374,Medium
6894-LFHLY,1,1,0.3497,0.4762,0.6374,Medium
7576-OYWBN,3,1,0.3496,0.4761,0.6372,Medium
7594-RQHXR,1,1,0.3495,0.476,0.6371,Medium
8696-JKZNU,37,1,0.3496,0.476,0.6372,Medium
7534-BFESC,24,1,0.3496,0.476,0.6372,Medium
5919-TMRGD,1,1,0.3496,0.476,0.6372,Medium
9248-OJYKK,1,1,0.3495,0.4759,0.6371,Medium
8258-GSTJK,3,1,0.3493,0.4757,0.6368,Medium
9560-ARGQJ,16,1,0.3491,0.4754,0.6366,Medium
4412-YLTKF,27,1,0.349,0.4753,0.6364,Medium
1304-NECVQ,2,1,0.3488,0.4751,0.6362,Medium
5288-AHOUP,11,0,0.3488,0.4751,0.6362,Medium
9355-NPPFS,26,0,0.3487,0.475,0.6361,Medium
9231-ZJYAM,4,1,0.3487,0.475,0.6361,Medium
1226-IENZN,16,0,0.3488,0.475,0.6361,Medium
8580-AECUZ,1,1,0.3487,0.4749,0.636,Medium
1965-AKTSX,14,1,0.3487,0.4749,0.636,Medium
6567-HOOPW,1,1,0.3486,0.4748,0.6359,Medium
4631-OACRM,15,1,0.3486,0.4748,0.6358,Medium
8225-BTJAU,10,1,0.3486,0.4748,0.6359,Medium
7074-IEVOJ,3,1,0.3486,0.4748,0.6358,Medium
4713-LZDRV,2,1,0.3485,0.4747,0.6357,Medium
1730-ZMAME,32,0,0.3485,0.4747,0.6358,Medium
6987-XQSJT,54,1,0.3485,0.4747,0.6358,Medium
2688-BHGOG,9,0,0.3485,0.4747,0.6358,Medium
6229-LSCKB,6,0,0.3485,0.4746,0.6357,Medium
6161-UUUTA,3,1,0.3484,0.4746,0.6356,Medium
4283-FUTGF,19,1,0.3484,0.4746,0.6356,Medium
8010-EZLOU,15,1,0.3483,0.4745,0.6355,Medium
7278-CKDNC,24,0,0.3482,0.4743,0.6354,Medium
8800-JOOCF,12,0,0.3482,0.4743,0.6353,Medium
1704-NRWYE,9,1,0.3481,0.4742,0.6352,Medium
8808-ELEHO,8,1,0.348,0.4741,0.6351,Medium
5934-RMPOV,22,0,0.348,0.4741,0.6351,Medium
0334-GDDSO,3,1,0.348,0.474,0.635,Medium
0818-OCPZO,27,1,0.3479,0.474,0.635,Medium
4612-SSVHJ,20,0,0.3479,0.474,0.635,Medium
1564-NTYXF,13,1,0.3478,0.4738,0.6348,Medium
9965-YOKZB,9,1,0.3472,0.4731,0.634,Medium
2545-EBUPK,2,0,0.3471,0.473,0.634,Medium
8058-JMEQO,9,1,0.347,0.4729,0.6338,Medium
8875-AKBYH,20,0,0.3471,0.4729,0.6338,Medium
4750-ZRXIU,4,1,0.347,0.4729,0.6338,Medium
2123-AGEEN,7,0,0.3471,0.4729,0.6338,Medium
8242-SOQUO,5,0,0.347,0.4728,0.6337,Medium
2205-YMZZJ,7,1,0.3469,0.4728,0.6337,Medium
4514-GFCFI,16,1,0.3469,0.4728,0.6337,Medium
9490-DFPMD,42,1,0.347,0.4728,0.6337,Medium
5019-GQVCR,43,0,0.3469,0.4728,0.6337,Medium
2642-DTVCO,9,1,0.3469,0.4727,0.6336,Medium
1069-XAIEM,1,1,0.3469,0.4727,0.6336,Medium
6230-BSUXY,1,1,0.3469,0.4727,0.6336,Medium
9208-OLGAQ,18,0,0.3469,0.4727,0.6336,Medium
8063-GBATB,27,1,0.3468,0.4726,0.6335,Medium
4395-PZMSN,5,0,0.3467,0.4725,0.6334,Medium
5277-ZLOOR,2,1,0.3467,0.4725,0.6334,Medium
1902-XBTFB,22,1,0.3467,0.4725,0.6333,Medium
4273-MBHYA,1,0,0.3467,0.4725,0.6333,Medium
5192-EBGOV,1,1,0.3467,0.4725,0.6333,Medium
4844-JJWUY,1,1,0.3466,0.4724,0.6332,Medium
3372-KWFBM,16,1,0.3464,0.4722,0.633,Medium
4140-MUHUG,3,1,0.3463,0.4721,0.6329,Medium
9725-SCPZG,1,1,0.3463,0.472,0.6328,Medium
4884-ZTHVF,8,0,0.3463,0.472,0.6328,Medium
1379-FRVEB,15,0,0.3462,0.4719,0.6327,Medium
3254-YRILK,19,1,0.346,0.4716,0.6324,Medium
4695-WJZUE,2,1,0.3459,0.4715,0.6323,Medium
3068-OMWZA,1,1,0.3458,0.4714,0.6322,Medium
1273-MTETI,4,1,0.3458,0.4714,0.6321,Medium
1792-UXAFY,17,1,0.3457,0.4713,0.632,Medium
4115-NZRKS,7,0,0.3457,0.4713,0.632,Medium
6595-YGXIT,25,1,0.3457,0.4713,0.6321,Medium
6005-OBZPH,26,1,0.3457,0.4713,0.632,Medium
2865-TCHJW,4,1,0.3457,0.4713,0.632,Medium
8739-WWKDU,25,1,0.3456,0.4712,0.6319,Medium
1415-YFWLT,1,1,0.3456,0.4712,0.632,Medium
1724-BQUHA,5,1,0.3456,0.4712,0.6319,Medium
6521-YYTYI,1,1,0.3456,0.4712,0.6319,Medium
4847-TAJYI,6,0,0.3456,0.4712,0.632,Medium
1624-NALOJ,5,1,0.3455,0.4711,0.6318,Medium
8922-LIEGH,25,1,0.3455,0.4711,0.6318,Medium
6969-MVBAI,9,0,0.3454,0.471,0.6317,Medium
8058-DMYRU,54,0,0.3454,0.471,0.6317,Medium
8012-SOUDQ,43,0,0.3454,0.4709,0.6316,Medium
5692-ICXLW,31,0,0.3453,0.4708,0.6315,Medium
7156-MHUGY,13,1,0.3453,0.4708,0.6315,Medium
1472-TNCWL,36,0,0.3452,0.4707,0.6314,Medium
