customer_id,anomaly_score,is_anomaly,churn_real
5277-ZLOOR,0.7192,1,1
4883-QICIH,0.7188,1,1
1618-CFHME,0.7172,1,1
2545-EBUPK,0.7161,1,0
9351-HXDMR,0.7155,1,0
2737-YNGYW,0.7154,1,1
0754-UKWQP,0.7151,1,1
9850-OWRHQ,0.7148,1,1
3717-OEAUQ,0.7148,1,0
2302-ANTDP,0.7148,1,1
1320-HTRDR,0.7142,1,1
1602-IJQQE,0.7141,1,1
9576-ANLXO,0.7132,1,1
5570-PTWEH,0.7124,1,1
5835-BEQEU,0.7114,1,1
9306-CPCBC,0.7112,1,1
9142-KZXOP,0.711,1,0
3943-KDREE,0.7102,1,1
9819-FBNSV,0.7102,1,0
3208-YPIOE,0.7082,1,1
6022-KOUQO,0.7073,1,0
7952-OBOYL,0.7072,1,0
7569-NMZYQ,0.7053,1,0
9796-MVYXX,0.7051,1,0
3278-FSIXX,0.7047,1,0
6202-DYYFX,0.7045,1,0
8207-VVMYB,0.704,1,0
3295-YVUSR,0.7035,1,0
1679-JRFBR,0.7032,1,0
0536-ACXIP,0.7021,1,0
4806-DXQCE,0.7015,1,0
6110-OHIHY,0.7005,1,1
7851-WZEKY,0.6999,1,1
5419-JPRRN,0.6992,1,1
4432-ADRLB,0.6991,1,1
6007-TCTST,0.699,1,0
8086-OVPWV,0.6989,1,1
4424-TKOPW,0.6989,1,1
3097-NQYSN,0.6973,1,1
3158-MOERK,0.6948,1,1
0254-FNMCI,0.6943,1,0
0107-YHINA,0.693,1,1
2984-AFWNC,0.6924,1,0
6115-ZTBFQ,0.6922,1,0
3049-SOLAY,0.6921,1,1
0323-XWWTN,0.6919,1,0
4919-MOAVT,0.6914,1,1
3810-DVDQQ,0.6902,1,0
4367-NUYAO,0.6895,1,0
3178-FESZO,0.6895,1,1
0617-FHSGK,0.6894,1,1
3213-VVOLG,0.6867,1,0
7216-EWTRS,0.6865,1,1
5122-CYFXA,0.6858,1,0
0265-EDXBD,0.6856,1,1
6348-SNFUS,0.6846,1,0
6923-JHPMP,0.6845,1,0
1389-CXMLU,0.6841,1,1
9611-CTWIH,0.6833,1,1
4652-NNHNY,0.6827,1,1
7571-YXDAD,0.6827,1,1
7823-JSOAG,0.682,1,0
5115-GZDEL,0.6813,1,0
5349-IECLD,0.6804,1,1
9237-HQITU,0.6804,1,1
6680-WKXRZ,0.6795,1,1
0139-IVFJG,0.6783,1,0
5375-XLDOF,0.6782,1,0
0641-EVBOJ,0.6778,1,0
7024-OHCCK,0.6771,1,1
7074-IEVOJ,0.6766,1,1
1142-WACZW,0.6766,1,1
3677-IYRBF,0.6761,1,1
9174-IHETN,0.6745,1,0
9821-POOTN,0.6744,1,1
6645-MXQJT,0.6739,1,0
4398-HSCJH,0.6736,1,1
3071-VBYPO,0.6731,1,0
0259-GBZSH,0.6722,1,1
5734-EJKXG,0.6721,1,0
5091-HFAZW,0.6715,1,0
3620-MWJNE,0.6709,1,0
4029-HPFVY,0.6705,1,0
9546-CQJSU,0.6683,1,1
4067-HLYQI,0.6662,1,0
9057-SIHCH,0.6659,1,1
0508-OOLTO,0.6655,1,0
8908-NMQTX,0.6652,1,0
3886-CERTZ,0.6622,1,1
3703-VAVCL,0.6616,1,1
2842-JTCCU,0.6607,1,1
6650-BWFRT,0.6606,1,0
6347-DCUIK,0.6593,1,1
5365-LLFYV,0.6591,1,0
9565-JSNFM,0.6582,1,1
9356-AXGMP,0.6573,1,0
3006-XIMLN,0.6571,1,1
7359-WWYJV,0.6568,1,0
9248-OJYKK,0.6556,1,1
4929-XIHVW,0.6542,1,0
8984-HPEMB,0.6541,1,0
4948-WBBKL,0.6537,1,0
5442-UTCVD,0.6531,1,1
6173-GOLSU,0.6528,1,0
9350-VLHMB,0.6527,1,0
2609-IAICY,0.6523,1,1
6010-DDPPW,0.652,1,0
0455-XFASS,0.6514,1,0
6161-UUUTA,0.6514,1,1
4393-GEADV,0.651,1,0
6960-HVYXR,0.6505,1,1
3714-NTNFO,0.6505,1,0
5644-PDMZC,0.6495,1,1
0795-LAFGP,0.6495,1,0
8593-WHYHV,0.6493,1,1
7245-NIIWQ,0.6492,1,0
7112-OPOTK,0.6489,1,1
2219-MVUSO,0.6482,1,1
3198-VELRD,0.648,1,1
0769-MURVM,0.6477,1,0
5271-YNWVR,0.6471,1,1
2897-DOVND,0.6455,1,0
5276-KQWHG,0.6454,1,1
9680-NIAUV,0.6445,1,0
7924-GJZFI,0.6443,1,0
5451-YHYPW,0.6434,1,0
8454-AATJP,0.6425,1,0
7398-SKNQZ,0.6425,1,0
4854-CIDCF,0.6416,1,0
6733-LRIZX,0.6415,1,0
7159-FVYPK,0.6412,1,0
7538-GWHML,0.6412,1,1
1113-IUJYX,0.6412,1,1
1597-FZREH,0.641,1,1
8628-MFKAX,0.6407,1,0
6894-LFHLY,0.6407,1,1
2091-RFFBA,0.6406,1,1
5834-ASPWA,0.6405,1,1
4361-BKAXE,0.6399,1,1
4234-XTNEA,0.6395,1,0
4846-WHAFZ,0.639,1,1
1501-SGHBW,0.6387,1,1
9787-XVQIU,0.6382,1,1
4988-IQIGL,0.638,1,1
1157-BQCUW,0.6359,1,1
6358-LYNGM,0.6359,1,1
1452-VOQCH,0.6358,1,0
8816-VXNZD,0.6358,1,1
3276-HDUEG,0.6351,1,1
9631-XEYKE,0.6351,1,0
4778-IZARL,0.6337,1,0
8015-IHCGW,0.6333,1,0
1488-PBLJN,0.6333,1,0
1732-VHUBQ,0.633,1,1
8263-QMNTJ,0.6325,1,0
4629-NRXKX,0.6325,1,1
7594-LZNWR,0.6319,1,0
2761-OCIAX,0.6309,1,1
9250-WYPLL,0.6306,1,1
5561-NWEVX,0.6305,1,1
2235-EZAIK,0.6295,1,0
8174-TBVCF,0.629,1,0
0361-HJRDX,0.6288,1,0
7503-MIOGA,0.6287,1,0
5248-RPYWW,0.6284,1,0
5914-XRFQB,0.6281,1,0
2034-GDRCN,0.6279,1,1
9286-DOJGF,0.6277,1,1
0266-GMEAO,0.6273,1,0
2055-PDADH,0.6273,1,1
8348-HFYIV,0.6272,1,1
4927-WWOOZ,0.6271,1,0
2568-BRGYX,0.627,1,1
9924-JPRMC,0.6266,1,0
5240-IJOQT,0.6259,1,1
7182-OVLBJ,0.6248,1,0
8975-SKGRX,0.6241,1,0
8696-JKZNU,0.6232,1,1
2308-STERM,0.6227,1,0
2274-XUATA,0.6225,1,0
3966-HRMZA,0.6224,1,0
9851-KIELU,0.6222,1,1
8082-GHXOP,0.6219,1,0
0133-BMFZO,0.6215,1,1
0017-IUDMW,0.6215,1,0
7077-XJMET,0.6203,1,0
6204-IEUXJ,0.62,1,1
6705-LXORM,0.6196,1,0
0186-CAERR,0.6195,1,0
6598-RFFVI,0.6188,1,1
0295-PPHDO,0.6182,1,1
6857-VWJDT,0.6182,1,1
3746-EUBYR,0.6168,1,1
5832-XKAES,0.6165,1,1
3452-ABWRL,0.6159,1,0
7878-JGDKK,0.6149,1,0
5178-LMXOP,0.6143,1,1
1393-IMKZG,0.6142,1,0
6356-ELRKD,0.614,1,1
4282-MSACW,0.6138,1,0
7760-OYPDY,0.6138,1,1
4415-IJZTP,0.6137,1,1
7180-PISOG,0.6137,1,1
4334-HOWRP,0.6136,1,0
1051-GEJLJ,0.6135,1,0
5630-AHZIL,0.6131,1,0
4184-TJFAN,0.6127,1,1
8155-IBNHG,0.6123,1,1
8085-MSNLK,0.6122,1,0
4102-OQUPX,0.6118,1,1
8775-ERLNB,0.6118,1,0
3551-HUAZH,0.6118,1,1
5567-WSELE,0.6112,1,1
0723-DRCLG,0.611,1,1
8372-JUXUI,0.611,1,1
2982-IHMFT,0.611,1,1
2314-TNDJQ,0.6106,1,0
9048-JVYVF,0.6105,1,1
2789-HQBOU,0.6104,1,0
2055-SIFSS,0.6103,1,0
5318-IXUZF,0.6101,1,1
3707-GNWHM,0.61,1,1
4482-EWFMI,0.61,1,0
8660-BUETV,0.6099,1,0
6166-ILMNY,0.6097,1,1
4290-BSXUX,0.6092,1,1
0684-AOSIH,0.6085,1,1
1725-IQNIY,0.6071,1,1
3737-GCSPV,0.6067,1,1
1833-VGRUM,0.6065,1,1
7718-RXDGG,0.6062,1,0
2933-FILNV,0.6062,1,1
9396-ZSFLL,0.606,1,0
9426-SXNHE,0.6058,1,0
9558-IHEZX,0.6054,1,0
2923-ARZLG,0.6051,1,0
2223-GDSHL,0.6045,1,0
7890-VYYWG,0.6036,0,1
6474-FVJLC,0.6036,0,1
0013-EXCHZ,0.603,0,1
4484-CGXFK,0.603,0,1
3318-NMQXL,0.603,0,0
9223-UCPVT,0.603,0,1
1480-BKXGA,0.603,0,0
8606-CIQUL,0.6026,0,0
7644-OMVMY,0.6025,0,0
2720-WGKHP,0.6023,0,1
9800-ONTFE,0.6022,0,0
1047-NNCBF,0.602,0,0
3118-UHVVQ,0.6019,0,0
9722-UJOJR,0.6016,0,1
1596-BBVTG,0.6011,0,1
6519-CFDBX,0.6006,0,0
9878-TNQGW,0.6004,0,1
8069-RHUXK,0.6001,0,0
9689-PTNPG,0.5999,0,1
0898-XCGTF,0.5996,0,0
6591-QGOYB,0.5992,0,0
6710-HSJRD,0.5989,0,0
7722-VJRQD,0.5982,0,0
3721-CNEYS,0.5982,0,1
8029-XYPWT,0.598,0,0
6629-LADHQ,0.5976,0,0
8685-WHQPW,0.5974,0,1
5879-SESNB,0.5973,0,0
1352-HNSAW,0.597,0,0
7147-AYBAA,0.5969,0,0
2520-SGTTA,0.5968,0,0
5173-WXOQV,0.5963,0,0
0258-NOKBL,0.5955,0,0
3115-CZMZD,0.5955,0,0
0378-TOVMS,0.5953,0,1
5673-TIYIB,0.5952,0,1
8473-VUVJN,0.595,0,1
2074-GKOWZ,0.5949,0,1
3411-WLRSQ,0.5949,0,0
6692-YQHXC,0.5945,0,0
4529-CKBCL,0.5945,0,1
0083-PIVIK,0.5944,0,0
4910-GMJOT,0.5943,0,1
0225-ZORZP,0.5943,0,0
5135-GRQJV,0.594,0,0
5536-SLHPM,0.5937,0,1
6904-JLBGY,0.5935,0,0
0274-JKUJR,0.5934,0,0
2040-XBAVJ,0.5933,0,0
0842-IWYCP,0.5933,0,0
3126-WQMGH,0.5931,0,0
4342-HFXWS,0.5929,0,0
9734-UYXQI,0.5925,0,1
8603-IJWDN,0.592,0,1
5893-KCLGT,0.5919,0,0
8580-QVLOC,0.5918,0,1
6513-EECDB,0.5917,0,1
3677-TNKIO,0.591,0,1
4086-YQSNZ,0.5905,0,1
6859-QNXIQ,0.5903,0,0
9897-KXHCM,0.5901,0,1
9767-FFLEM,0.5899,0,0
8083-YTZES,0.5891,0,1
4918-QLLIW,0.589,0,1
9258-CNWAC,0.5887,0,0
3892-NXAZG,0.5886,0,0
4139-DETXS,0.5884,0,0
8985-OOPOS,0.5884,0,0
9896-UYMIE,0.5882,0,0
4826-XTSOH,0.5876,0,1
7554-AKDQF,0.587,0,0
8725-JEDFD,0.587,0,0
1779-PWPMG,0.587,0,0
3258-ZKPAI,0.5868,0,0
8873-GLDMH,0.5867,0,0
1143-NMNQJ,0.5865,0,1
3703-KBKZP,0.5861,0,0
7113-HIPFI,0.5861,0,0
0201-MIBOL,0.5859,0,0
4967-WPNCF,0.5857,0,0
6641-XRPSU,0.5851,0,1
4137-BTIKL,0.5848,0,0
4959-JOSRX,0.5847,0,1
7971-HLVXI,0.5846,0,0
8199-ZLLSA,0.5842,0,1
6505-OZNPG,0.5841,0,0
3982-XWFZQ,0.584,0,1
9112-WSNPU,0.5838,0,0
0817-HSUSE,0.5836,0,0
9300-AGZNL,0.5835,0,1
7410-YTJIK,0.5835,0,1
5956-VKDTT,0.5834,0,1
8149-RSOUN,0.5828,0,1
5066-GFJMM,0.5827,0,0
2380-DAMQP,0.5824,0,0
0906-QVPMS,0.5824,0,0
2800-VEQXM,0.5824,0,0
2710-WYVXG,0.5821,0,0
9497-QCMMS,0.582,0,1
5018-GWURO,0.5813,0,0
8617-ENBDS,0.581,0,0
1041-RXHRA,0.5807,0,1
3422-GALYP,0.5804,0,0
7343-EOBEU,0.5799,0,0
3882-IYOIJ,0.5797,0,0
2388-LAESQ,0.5795,0,0
3049-NDXFL,0.5794,0,1
5419-JKZNQ,0.579,0,0
5233-AOZUF,0.5783,0,0
1212-GLHMD,0.5781,0,0
3726-TBHQT,0.5778,0,0
3186-BAXNB,0.5777,0,1
2884-GBPFB,0.5771,0,1
0266-CLZKZ,0.5771,0,0
6521-YYTYI,0.5764,0,1
4854-SSLTN,0.5761,0,0
8207-DMRVL,0.5757,0,0
7198-GLXTC,0.5757,0,1
9839-ETQOE,0.5754,0,0
5600-KTXFM,0.5751,0,0
4983-CCWMC,0.575,0,0
1163-VIPRI,0.5749,0,0
3795-CAWEX,0.5747,0,0
0734-OXWBT,0.5743,0,0
8513-OLYGY,0.5741,0,0
0530-IJVDB,0.5738,0,0
0440-QEXBZ,0.5735,0,0
2372-HWUHI,0.5735,0,1
8241-JUIQO,0.5733,0,0
9812-GHVRI,0.5725,0,0
0374-IOEGQ,0.5724,0,0
9717-QEBGU,0.5723,0,0
7855-DIWPO,0.572,0,0
5574-NXZIU,0.572,0,0
0722-TROQR,0.572,0,1
3680-CTHUH,0.5719,0,0
2832-SCUCO,0.5719,0,0
5192-EBGOV,0.5717,0,1
4422-QVIJA,0.5717,0,0
6017-PPLPX,0.5715,0,1
8713-IGZSO,0.571,0,0
7923-IYJWY,0.5706,0,0
9637-CDTKZ,0.5705,0,0
7269-JISCY,0.5704,0,0
3508-VLHCZ,0.5703,0,0
6702-OHFWR,0.5694,0,1
1444-VVSGW,0.5692,0,1
8903-WMRNW,0.5691,0,0
9124-LHCJQ,0.569,0,1
7379-POKDZ,0.569,0,1
2754-SDJRD,0.569,0,0
2325-NBPZG,0.5689,0,0
3657-COGMW,0.5689,0,0
2476-YGEFM,0.5686,0,0
9261-WDCAF,0.5684,0,0
3509-GWQGF,0.5683,0,0
7841-TZDMQ,0.5682,0,1
2969-QWUBZ,0.568,0,0
3836-FZSDJ,0.5678,0,0
0772-GYEQQ,0.5678,0,1
6304-IJFSQ,0.5678,0,1
2460-NGXBJ,0.5666,0,0
6198-ZFIOJ,0.5646,0,0
2235-ZGKPT,0.5645,0,1
1591-NFNLQ,0.5641,0,1
2121-JAFOM,0.5639,0,0
7206-PQBBZ,0.5638,0,0
8920-NAVAY,0.5635,0,0
6275-YDUVO,0.5633,0,1
5879-HMFFH,0.5629,0,0
9127-FHJBZ,0.5624,0,0
9286-BHDQG,0.5623,0,0
0840-DFEZH,0.5615,0,0
3669-WHAFY,0.5612,0,0
8910-LEDAG,0.5612,0,0
8443-ZRDBZ,0.5611,0,1
7851-FLGGQ,0.5609,0,1
4587-NUKOX,0.5609,0,1
2637-FKFSY,0.5603,0,0
8065-YKXKD,0.5599,0,1
9298-WGMRW,0.5598,0,0
6967-QIQRV,0.5595,0,0
5405-ZMYXQ,0.5586,0,0
0206-TBWLC,0.5577,0,0
0742-LAFQK,0.5576,0,0
3612-YUNGG,0.5574,0,0
9769-TSBZE,0.5573,0,0
6952-OMNWB,0.557,0,0
7997-EASSD,0.5568,0,0
0988-JRWWP,0.5568,0,0
3234-VKACU,0.5568,0,0
7354-OIJLX,0.5565,0,0
3094-JOJAI,0.5565,0,0
5159-YFPKQ,0.5558,0,1
4176-FXYBO,0.5558,0,0
0771-WLCLA,0.5557,0,0
6680-NENYN,0.5556,0,1
6655-LHBYW,0.5546,0,0
5916-QEWPT,0.5544,0,0
1069-XAIEM,0.5539,0,1
9282-IZGQK,0.5539,0,1
8395-ETZKQ,0.5536,0,0
3988-RQIXO,0.5535,0,1
3932-CMDTD,0.5526,0,1
9866-OCCKE,0.5525,0,0
2585-KTFRE,0.5524,0,0
7663-CUXZB,0.5521,0,0
0334-GDDSO,0.552,0,1
1678-FYZOW,0.5516,0,1
0201-OAMXR,0.5516,0,1
1728-BQDMA,0.5514,0,0
2211-RMNHO,0.551,0,0
9945-PSVIP,0.551,0,0
9659-QEQSY,0.5509,0,0
2272-QAGFO,0.5506,0,1
4537-DKTAL,0.5506,0,0
9283-LZQOH,0.5501,0,1
0021-IKXGC,0.55,0,0
8993-PHFWD,0.5498,0,1
5119-NZPTV,0.5498,0,0
6919-ELBGL,0.5497,0,0
4220-TINQT,0.5496,0,0
0301-FIDRB,0.549,0,0
2632-UCGVD,0.5489,0,1
7675-OZCZG,0.5489,0,1
2296-DKZFP,0.5487,0,0
8644-XLFBW,0.5485,0,1
8380-PEFPE,0.5485,0,1
2962-XPMCQ,0.5479,0,1
4683-WYDOU,0.5478,0,0
4671-LXRDQ,0.5475,0,1
1642-HMARX,0.5473,0,0
5168-MQQCA,0.5472,0,0
2725-KXXWT,0.5471,0,1
7294-TMAOP,0.5471,0,1
8775-LHDJH,0.5471,0,1
7274-RTAPZ,0.5471,0,1
5797-APWZC,0.5471,0,1
6825-UYPFK,0.5469,0,1
9101-NTIXF,0.5468,0,0
5419-CONWX,0.5468,0,1
4312-GVYNH,0.5466,0,0
9725-SCPZG,0.5465,0,1
5167-ZFFMM,0.5465,0,1
2525-GVKQU,0.5465,0,0
9968-FFVVH,0.5465,0,0
5502-RLUYV,0.5463,0,1
7369-TRPFD,0.546,0,0
1226-UDFZR,0.5458,0,1
5989-AXPUC,0.5457,0,0
7503-ZGUZJ,0.5452,0,1
1741-WTPON,0.5452,0,0
4587-VVTOX,0.5451,0,1
4342-HENTK,0.5449,0,1
9837-BMCLM,0.5448,0,1
0196-JTUQI,0.5439,0,0
4912-PIGUY,0.5436,0,0
7120-RFMVS,0.5436,0,1
1399-OUPJN,0.5433,0,0
6048-UWKAL,0.5427,0,0
2181-UAESM,0.5424,0,0
2988-PLAHS,0.5423,0,0
8878-HMWBV,0.5419,0,1
4704-ERYFC,0.5413,0,1
4254-QPEDE,0.5412,0,0
9610-WCESF,0.5409,0,0
2272-WUSPA,0.5409,0,0
1941-HOSAM,0.5407,0,0
5968-VXZLG,0.5406,0,0
1981-INRFU,0.5403,0,1
7296-PIXQY,0.5397,0,0
0744-GKNGE,0.5395,0,0
5183-KLYEM,0.5395,0,0
6140-QNRQQ,0.5393,0,1
4374-YMUSQ,0.5391,0,0
8835-VSDSE,0.5387,0,1
0670-ANMUU,0.5385,0,0
5356-CSVSQ,0.5384,0,0
8642-GVWRF,0.5383,0,1
9702-AIUJO,0.5381,0,0
7579-OOPEC,0.5375,0,1
4628-CTTLA,0.5372,0,1
5995-SNNEW,0.5371,0,0
3812-LRZIR,0.5369,0,0
8708-XPXHZ,0.5369,0,1
6357-JJPQT,0.5365,0,0
3329-WDIOK,0.5354,0,1
6557-BZXLQ,0.5353,0,0
9036-CSKBW,0.5352,0,0
5028-GZLDO,0.5351,0,1
4625-XMOYM,0.5348,0,0
7781-HVGMK,0.5346,0,0
4360-PNRQB,0.5344,0,0
2560-WBWXF,0.5341,0,0
1074-AMIOH,0.534,0,0
5804-LEPIM,0.5336,0,1
3308-DGHKL,0.5336,0,0
6445-TNRXS,0.5336,0,0
8541-QVFKM,0.5335,0,0
9158-VCTQB,0.5332,0,1
8042-JVNFH,0.5331,0,1
7587-RZNME,0.5331,0,1
3177-LASXD,0.5331,0,1
3384-CTMSF,0.5331,0,0
6166-YIPFO,0.533,0,0
5442-BHQNG,0.5329,0,0
4079-WWQQQ,0.5328,0,0
7615-ESMYF,0.5327,0,1
6047-YHPVI,0.5326,0,1
3313-QKNKB,0.5325,0,1
1442-OKRJE,0.5324,0,0
3865-YIOTT,0.5324,0,0
2792-LSHWX,0.5322,0,0
2378-YIZKA,0.532,0,0
4546-FOKWR,0.532,0,0
6338-AVWCY,0.5318,0,1
1587-FKLZB,0.5316,0,1
0709-TVGUR,0.5314,0,1
1025-FALIX,0.5311,0,0
3866-MDTUB,0.5311,0,1
9101-BWFSS,0.5308,0,1
7326-RIGQZ,0.5307,0,0
0822-GAVAP,0.5305,0,1
3194-ORPIK,0.5302,0,1
1589-AGTLK,0.5301,0,1
7912-SYRQT,0.5301,0,1
4061-UKJWL,0.5301,0,0
4208-UFFGW,0.53,0,1
6172-FECYY,0.5299,0,1
6917-IAYHD,0.5299,0,0
3027-ZTDHO,0.5299,0,1
3074-GQWYX,0.5297,0,1
1837-YQUCE,0.5295,0,0
9695-IDRZR,0.5288,0,0
4238-HFHSN,0.5288,0,0
7274-CGTOD,0.5287,0,0
1078-TDCRN,0.5286,0,0
6078-VESFR,0.5283,0,0
3799-ISUZQ,0.5281,0,1
0970-ETWGE,0.5278,0,1
4816-JBHOV,0.5277,0,1
7273-TEFQD,0.5273,0,1
8204-YJCLA,0.5272,0,0
9242-TKFSV,0.5272,0,0
6416-TVAIH,0.5271,0,1
3655-SNQYZ,0.5268,0,0
0388-EOPEX,0.5267,0,1
4612-THJBS,0.5266,0,1
4304-TSPVK,0.5266,0,0
2178-PMGCJ,0.5262,0,0
6164-HAQTX,0.5261,0,0
1767-TGTKO,0.526,0,0
3538-WZPHD,0.526,0,1
5360-XGYAZ,0.5258,0,0
9334-GWGOW,0.5252,0,0
7824-PANSQ,0.5251,0,0
3878-AVSOQ,0.5246,0,0
4753-PADAS,0.5244,0,0
3055-VTCGS,0.5242,0,0
9365-SRSZE,0.524,0,0
1625-JAIIY,0.5239,0,1
2856-HYAPG,0.5237,0,1
7392-YYPYJ,0.5237,0,0
2511-MORQY,0.5233,0,0
1229-RCALF,0.5233,0,0
7577-SWIFR,0.5232,0,0
1415-YFWLT,0.5232,0,1
4273-MBHYA,0.5232,0,0
0774-RMNUW,0.5227,0,0
9835-ZIITK,0.5227,0,1
1557-EMYVT,0.5227,0,0
8485-GJCDN,0.5225,0,1
0895-DQHEW,0.5225,0,1
4229-CZMLL,0.5224,0,1
3858-VOBET,0.5221,0,1
8587-XYZSF,0.5207,0,0
3754-DXMRT,0.5205,0,1
5038-ETMLM,0.5201,0,0
8909-BOLNL,0.52,0,0
8992-JQYUN,0.5198,0,1
1219-NNDDO,0.5197,0,0
1125-SNVCK,0.5196,0,0
2303-PJYHN,0.5196,0,0
4695-WJZUE,0.5195,0,1
9220-CXRSC,0.5194,0,0
0541-FITGH,0.5193,0,0
0491-KAPQG,0.5193,0,0
9494-MRNYX,0.5188,0,0
1209-VFFOC,0.5188,0,0
9053-JZFKV,0.5186,0,1
4291-SHSBH,0.5186,0,0
6418-HNFED,0.518,0,0
9776-CLUJA,0.5176,0,1
0907-HQNTS,0.5174,0,0
8690-ZVLCL,0.5173,0,0
8040-MNRTF,0.5172,0,0
1228-ZLNBX,0.5172,0,0
9488-HGMJH,0.5172,0,1
0511-JTEOY,0.5172,0,1
9778-OGKQZ,0.5169,0,0
3070-DVEYC,0.5168,0,1
2868-SNELZ,0.5166,0,1
3068-OMWZA,0.5166,0,1
8364-TRMMK,0.5165,0,1
0975-VOOVL,0.5162,0,0
6762-QVYJO,0.5162,0,0
8224-DWCKX,0.5158,0,0
3398-ZOUAA,0.5157,0,1
2049-BAFNW,0.5156,0,0
3716-BDVDB,0.5155,0,1
1086-LXKFY,0.5155,0,1
1447-GIQMR,0.5155,0,1
3871-IKPYH,0.5155,0,1
4806-HIPDW,0.5155,0,1
3801-HMYNL,0.5154,0,1
5245-VDBUR,0.5148,0,0
9728-FTTVZ,0.5147,0,1
7660-HDPJV,0.5147,0,1
0679-IDSTG,0.5147,0,1
7206-GZCDC,0.5147,0,1
9862-KJTYK,0.5147,0,0
5317-FLPJF,0.5146,0,0
8910-ICHIU,0.5146,0,0
2880-FPNAE,0.5142,0,0
8167-GJLRN,0.5141,0,0
