customer_id,monthly_potential_eur,upsell_priority
4310-KEDTB,28.88,High
4801-JZAZL,28.87,High
7421-ZLUPA,28.85,High
8901-HJXTF,28.84,High
5256-SKJGO,28.83,High
8799-OXZMD,28.77,High
9572-WUKSB,28.75,High
8650-RHRKE,28.74,High
1360-RCYRT,28.73,High
0928-JMXNP,28.72,High
2586-CWXVV,28.72,High
7758-XKCBS,28.71,High
6713-OKOMC,28.7,High
5143-EGQFK,28.7,High
4592-IWTJI,28.67,High
3677-IYRBF,28.63,High
7740-KKCXF,28.63,High
9102-OXKFY,28.62,High
9526-BIHHD,28.61,High
5999-LCXAO,28.61,High
0909-SDHNU,28.6,High
7622-NXQZR,28.6,High
2233-TXSIU,28.55,High
7284-ZZLOH,28.5,High
2533-TIBIX,28.5,High
9057-MSWCO,28.47,High
5533-RJFTJ,28.47,High
6598-KELSS,28.45,High
3745-HRPHI,28.43,High
5202-IVJNU,28.43,High
4625-EWPTF,28.43,High
6656-JWRQX,28.43,High
3538-WZPHD,28.42,High
6549-NNDYT,28.41,High
3082-VQXNH,28.4,High
4030-VPZBD,28.4,High
8167-GJLRN,28.4,High
8676-OOQEJ,28.4,High
6543-CPZMK,28.39,High
6317-YPKDH,28.39,High
7590-VHVEG,28.38,High
2606-RMDHZ,28.38,High
0032-PGELS,28.36,High
1282-IHQAC,28.32,High
7253-UVNDW,28.32,High
8205-OTCHB,28.31,High
4825-XJGDM,28.26,High
1078-TDCRN,28.24,High
3689-MOZGR,28.24,High
7244-QWYHG,28.23,High
6637-KYRCV,28.21,High
9388-ZEYVT,28.16,High
1432-FPAXX,28.16,High
5156-UMKOW,28.16,High
7389-KBFIT,28.14,High
3237-AJGEH,28.11,High
4992-LTJNE,28.06,High
0811-GSDTP,28.04,High
1716-LSAMB,28.03,High
1395-OFUWC,28.01,High
8665-UTDHZ,28.01,High
4057-FKCZK,27.98,High
7688-AWMDX,27.96,High
1322-AGOQM,27.96,High
7029-IJEJK,27.96,High
6348-SNFUS,27.89,High
2314-TNDJQ,27.87,High
6177-PEVRA,27.79,High
4544-RXFMG,27.77,High
8208-EUMTE,27.74,High
1271-UODNO,27.73,High
4859-ZSRDZ,27.72,High
5067-WJEUN,27.68,High
2904-GGUAZ,27.65,High
2137-DQMEV,27.63,High
6339-DKLMK,27.6,High
8069-YQQAJ,27.59,High
9746-YKGXB,27.58,High
8919-FYFQZ,27.54,High
5872-OEQNH,27.45,High
1371-DWPAZ,27.44,High
7636-PEPNS,27.43,High
8883-ANODQ,27.39,High
7338-ERIVA,27.38,High
5868-CZJDR,27.37,High
3057-VJJQE,27.34,High
1335-MXCSE,27.33,High
1209-VFFOC,27.29,High
3638-DIMPH,27.26,High
4081-DYXAV,27.19,High
8398-TBIYD,27.18,High
6522-OIQSX,27.18,High
1298-PHBTI,27.15,High
2599-CZABP,27.05,High
0230-WEQUW,27.05,High
8718-PTMEZ,27.0,High
8169-SAEJD,26.99,High
7570-WELNY,26.97,High
8231-BSWXX,26.97,High
5160-UXJED,26.95,High
7136-RVDTZ,26.85,High
7971-HLVXI,26.82,High
0014-BMAQU,26.82,High
0234-TEVTT,26.82,High
7594-LZNWR,26.73,High
0233-FTHAV,26.72,High
7269-JISCY,26.69,High
8165-CBKXO,26.69,High
8627-ZYGSZ,26.68,High
2212-LYASK,26.59,High
5386-THSLQ,26.57,High
9142-KZXOP,26.56,High
1337-BOZWO,26.53,High
9138-EFSMO,26.47,High
7855-DIWPO,26.45,High
6416-TVAIH,26.41,High
7718-RXDGG,26.4,High
2856-HYAPG,26.4,High
9702-AIUJO,26.39,High
6968-MHOMU,26.37,High
1025-FALIX,26.37,High
3398-ZOUAA,26.34,High
9824-BEMCV,26.34,High
8725-JEDFD,26.32,High
4806-HIPDW,26.31,High
3716-BDVDB,26.31,High
3871-IKPYH,26.31,High
8224-UAXBZ,26.31,High
1447-GIQMR,26.31,High
6227-HWPWX,26.31,High
8993-IZEUX,26.28,High
8990-ZXLSU,26.28,High
2575-GFSOE,26.28,High
7129-AZJDE,26.28,High
0018-NYROU,26.27,High
3453-RTHJQ,26.26,High
6993-OHLXR,26.25,High
1086-LXKFY,26.23,High
2834-JKOOW,26.22,High
8485-GJCDN,26.21,High
4692-NNQRU,26.2,High
7112-OPOTK,26.19,High
9701-CDXHR,26.16,High
7771-ZONAT,26.11,High
1414-YADCW,26.04,High
4704-ERYFC,26.02,High
8652-YHIYU,26.02,High
7924-GJZFI,26.02,High
0679-IDSTG,26.01,High
3223-DWFIO,26.01,High
2799-ARNLO,26.01,High
5027-QPKTE,26.01,High
9799-CAYJJ,26.01,High
6457-GIRWB,26.0,High
2079-FBMZK,26.0,High
7660-HDPJV,26.0,High
7206-GZCDC,26.0,High
9728-FTTVZ,26.0,High
3428-XZMAZ,26.0,High
5884-GCYMI,25.99,High
5044-LRQAQ,25.99,High
7908-QCBCA,25.98,High
8565-WUXZU,25.94,High
3750-CKVKH,25.87,High
2506-TNFCO,25.85,High
1820-TQVEV,25.85,High
2636-ALXXZ,25.85,High
6502-MJQAE,25.85,High
0488-GSLFR,25.85,High
8375-DKEBR,25.85,High
5276-KQWHG,25.85,High
7665-TOALD,25.85,High
0455-XFASS,25.85,High
4291-SHSBH,25.85,High
9576-ANLXO,25.84,High
5186-SAMNZ,25.83,High
4983-CCWMC,25.83,High
4110-PFEUZ,25.83,High
8120-JDCAM,25.82,High
3999-QGRJH,25.74,High
4482-EWFMI,25.73,High
2058-DCJBE,25.73,High
4550-EVXNY,25.73,High
7538-GWHML,25.73,High
5539-TMZLF,25.72,High
8062-YBDOE,25.72,High
1016-DJTSV,25.72,High
4871-JTKJF,25.72,High
4919-MOAVT,25.72,High
7254-IQWOZ,25.72,High
6166-ILMNY,25.71,High
6557-BZXLQ,25.71,High
1084-UQCHV,25.71,High
6047-YHPVI,25.71,High
4501-EQDRN,25.7,High
7504-UWHNB,25.69,High
9767-FFLEM,25.69,High
0549-CYCQN,25.68,High
2178-PMGCJ,25.68,High
4883-QICIH,25.65,High
1422-DGUBX,25.65,High
7674-YTAFD,25.61,High
6869-FGJJC,25.59,High
5605-IYGFG,25.59,High
2897-DOVND,25.58,High
2402-TAIRZ,25.58,High
0958-YHXGP,25.58,High
5542-TBBWB,25.57,High
9804-ICWBG,25.57,High
4603-JANFB,25.57,High
7245-NIIWQ,25.57,High
5875-YPQFJ,25.57,High
4510-HIMLV,25.57,High
5550-VFRLC,25.57,High
5134-IKDAY,25.57,High
7326-RIGQZ,25.56,High
5832-XKAES,25.55,High
1062-LHZOD,25.55,High
0599-XNYDO,25.54,High
8630-FJLIB,25.53,High
2482-CZGBB,25.46,High
4512-ZUIYL,25.44,High
0330-IVZHA,25.44,High
3799-ISUZQ,25.44,High
9603-OAIHC,25.43,High
5583-SXDAG,25.43,High
3494-JCHRQ,25.43,High
7153-OANIO,25.43,High
5895-QSXOD,25.43,High
1853-UDXBW,25.43,High
8000-REIQB,25.42,High
3941-XTSKM,25.42,High
5600-KTXFM,25.42,High
3066-RRJIO,25.41,High
3884-HCSWG,25.41,High
9796-BPKIW,25.41,High
9389-ACWBI,25.41,High
3474-BAFSJ,25.41,High
6705-LXORM,25.4,High
2920-RNCEZ,25.4,High
8329-GWVPJ,25.39,High
2608-BHKFN,25.39,High
6692-YQHXC,25.39,High
3509-GWQGF,25.38,High
5343-SGUBI,25.37,High
6641-XRPSU,25.35,High
2242-MFOTG,25.34,High
0214-JHPFW,25.34,High
9506-UXUSK,25.33,High
9272-LSVYH,25.33,High
6064-ZATLR,25.32,High
6379-RXJRQ,25.31,High
5119-NZPTV,25.31,High
9408-SSNVZ,25.3,High
0328-GRPMV,25.3,High
2262-SLNVK,25.3,High
6077-BDPXA,25.3,High
1846-XWOQN,25.3,High
4702-IOQDC,25.3,High
9540-JYROE,25.29,High
2398-YPMUR,25.29,High
9985-MWVIX,25.28,High
2619-WFQWU,25.28,High
5566-SOEZD,25.28,High
5931-FLJJF,25.28,High
7394-LWLYN,25.27,High
5976-JCJRH,25.27,High
9633-XQABV,25.27,High
7562-UXTPG,25.27,High
6168-WFVVF,25.26,High
9717-QEBGU,25.25,High
7296-PIXQY,25.25,High
2501-XWWTZ,25.24,High
7044-YAACC,25.24,High
7206-PQBBZ,25.24,High
4029-HPFVY,25.23,High
6339-TBELP,25.23,High
5442-BHQNG,25.22,High
7379-POKDZ,25.22,High
5804-LEPIM,25.21,High
2260-USTRB,25.21,High
6653-CBBOM,25.21,High
3244-DCJWY,25.21,High
2446-PLQVO,25.21,High
1363-TXLSL,25.21,High
9605-WGJVW,25.21,High
7465-ZZRVX,25.21,High
1640-PLFMP,25.21,High
5095-ETBRJ,25.2,High
2815-CPTUL,25.2,High
2568-BRGYX,25.19,High
7321-VGNKU,25.18,High
3400-ESFUW,25.17,High
4629-NRXKX,25.17,High
1821-BUCWY,25.16,High
3496-LFSZU,25.15,High
2896-TBNBE,25.15,High
6017-PPLPX,25.15,High
2905-KFQUV,25.14,High
4763-PGDPO,25.13,High
4869-EPIUS,25.13,High
8270-RKSAP,25.11,High
8348-JLBUG,25.11,High
1915-IOFGU,25.1,High
4759-TRPLW,25.1,High
2884-GBPFB,25.1,High
3211-ILJTT,25.1,High
2055-PDADH,25.1,High
4067-HLYQI,25.1,High
0515-YPMCW,25.09,High
6078-VESFR,25.08,High
0390-DCFDQ,25.08,High
9584-EXCDZ,25.06,High
9237-HQITU,25.0,High
0685-MLYYM,24.99,High
0114-IGABW,24.99,High
9365-SRSZE,24.98,High
0644-OQMDK,24.98,High
7147-AYBAA,24.97,High
9620-ENEJV,24.97,High
1041-RXHRA,24.95,High
4342-HENTK,24.94,High
1047-NNCBF,24.92,High
9432-VOFYX,24.91,High
8835-VSDSE,24.9,High
2115-BFTIW,24.87,High
9722-UJOJR,24.87,High
3721-CNEYS,24.86,High
1031-IIDEO,24.85,High
5376-DEQCP,24.85,High
7967-HYCDE,24.85,High
8051-HJRLT,24.85,High
2683-JXWQQ,24.85,High
9617-INGJY,24.84,High
5940-AHUHD,24.84,High
0812-WUPTB,24.84,High
1122-JWTJW,24.84,High
3717-OEAUQ,24.84,High
8309-IEYJD,24.83,High
5028-GZLDO,24.83,High
3376-BMGFE,24.83,High
0151-ONTOV,24.83,High
0968-GSIKN,24.83,High
0519-XUZJU,24.83,High
5032-MIYKT,24.83,High
9112-WSNPU,24.81,High
1996-DBMUS,24.79,High
9795-SHUHB,24.77,High
3627-FCRDW,24.74,High
1732-VHUBQ,24.73,High
3420-ZDBMA,24.7,High
6614-YOLAC,24.7,High
4450-DLLMH,24.68,High
7025-WCBNE,24.66,High
3755-JBMNH,24.64,High
5297-MDOIR,24.62,High
3422-LYEPQ,24.6,High
1077-HUUJM,24.6,High
6504-VBLFL,24.59,High
7409-KIUTL,24.59,High
1769-GRUIK,24.58,High
9488-HGMJH,24.57,High
3177-LASXD,24.57,High
0508-OOLTO,24.57,High
2040-OBMLJ,24.57,High
3878-AVSOQ,24.57,High
8042-JVNFH,24.56,High
8644-XLFBW,24.55,High
8040-MNRTF,24.55,High
3677-TNKIO,24.55,High
0511-JTEOY,24.55,High
8380-PEFPE,24.55,High
7921-BEPCI,24.54,High
6140-QNRQQ,24.53,High
9762-YAQAA,24.53,High
1837-YQUCE,24.52,High
6681-ZSEXG,24.5,High
6927-WTFIV,24.5,High
7997-EASSD,24.5,High
3115-JPJDD,24.49,High
1480-IVEVR,24.49,High
1599-MMYRQ,24.48,High
3923-CSIHK,24.47,High
8910-LEDAG,24.45,High
9139-TWBAS,24.44,High
8070-AAWZP,24.39,High
5762-TJXGK,24.36,High
4177-JPDFU,24.36,High
9819-FBNSV,24.33,High
9995-HOTOH,24.32,High
2946-KIQSP,24.32,High
7233-IOQNP,24.25,High
8582-KRHPJ,24.19,High
6617-WLBQC,24.19,High
6917-IAYHD,24.16,High
4712-AUQZO,24.16,High
4323-SADQS,24.14,High
9738-QLWTP,24.07,High
4881-JVQOD,24.06,High
3806-DXQOM,24.01,High
0412-UCCNP,23.98,High
3016-KSVCP,23.94,High
8259-NFJTV,23.93,High
0774-RMNUW,23.93,High
3307-TLCUD,23.92,High
7596-ZYWBB,23.92,High
7075-BNDVQ,23.84,High
2011-TRQYE,23.81,High
4194-FJARJ,23.8,High
9372-TXXPS,23.77,High
1976-AZZPJ,23.76,High
1459-QNFQT,23.75,High
5792-JALQC,23.68,High
2408-WITXK,23.64,High
2894-QOJRX,23.63,High
8672-OAUPW,23.63,High
5730-RIITO,23.61,High
8510-TMWYB,23.59,High
6762-QVYJO,23.57,High
4111-BNXIF,23.57,High
9359-JANWS,23.54,High
3638-WEABW,23.52,High
3841-CONLJ,23.48,High
5882-CMAZQ,23.48,High
3594-KADLU,23.47,High
3751-KTZEL,23.47,High
1261-FWTTE,23.46,High
0375-HVGXO,23.44,High
8316-BBQAY,23.44,High
7950-XWOVN,23.44,High
6240-EURKS,23.41,High
4976-LNFVV,23.39,High
7131-ZQZNK,23.39,High
6907-CQGPN,23.36,High
0822-GAVAP,23.34,High
7633-MVPUY,23.33,High
9220-CXRSC,23.33,High
8066-POXGX,23.31,High
6133-OZILE,23.3,High
3472-OAOOR,23.26,High
2309-OSFEU,23.26,High
3050-GBUSH,23.23,High
8626-PTQGE,23.21,High
0778-NELLA,23.21,High
2908-ZTPNF,23.2,High
3845-JHAMY,23.19,High
8741-LQOBK,23.18,High
0841-NULXI,23.17,High
3091-FYHKI,23.17,High
4139-SUGLD,23.17,High
1740-CSDJP,23.15,High
8039-EQPIM,23.14,High
4501-VCPFK,23.12,High
7746-AWNQW,23.11,High
8158-WPEZG,23.1,High
2485-ITVKB,23.1,High
9888-ZCUMM,23.1,High
7384-GHBPI,23.09,High
3815-SLMEF,23.07,High
5759-RCVCB,23.06,High
7306-YDSOI,23.05,High
7102-JJVTX,23.04,High
7018-FPXHH,23.03,High
4664-NJCMS,23.01,High
8571-ZCMCX,23.0,High
4012-YCFAI,22.93,High
0440-EKDCF,22.92,High
1049-FYSYG,22.92,High
9880-TDQAC,22.92,High
2049-BAFNW,22.92,High
2108-XWMPY,22.88,High
8106-GWQOK,22.87,High
5649-TJHOV,22.85,High
7801-CEDNV,22.84,High
8181-YHCMF,22.83,High
3399-BMLVW,22.83,High
0953-LGOVU,22.81,High
7139-JZFVG,22.8,High
5338-YHWYT,22.79,High
4178-EGMON,22.79,High
5862-BRIXZ,22.7,High
8050-WYBND,22.68,High
6695-FRVEC,22.68,High
7854-FOKSF,22.67,High
5993-JSUWV,22.66,High
1699-UOTXU,22.64,High
4718-DHSMV,22.64,High
4307-KWMXE,22.61,High
2782-JEEBU,22.6,High
5181-OABFK,22.6,High
7716-YTYHG,22.58,High
4500-HKANN,22.55,High
5378-IKEEG,22.54,High
7078-NVFAM,22.53,High
8124-NZVGJ,22.52,High
5498-IBWPI,22.51,High
1534-OULXE,22.51,High
1625-JAIIY,22.48,High
4439-YRNVD,22.47,High
6937-GCDGQ,22.47,High
5697-GOMBF,22.43,High
7722-VJRQD,22.41,High
3776-EKTKM,22.39,High
9220-ZNKJI,22.35,High
2483-XSSMZ,22.34,High
0489-WMEMG,22.33,High
7890-VYYWG,22.33,High
4702-HDRKD,22.32,High
8865-TNMNX,22.31,High
6773-LQTVT,22.31,High
8111-RKSPX,22.31,High
4854-SSLTN,22.31,High
3295-YVUSR,22.3,High
1834-ABKHQ,22.29,High
8563-IIOXK,22.28,High
4622-YNKIJ,22.24,High
4547-LYTDD,22.24,High
0336-KXKFK,22.2,High
6549-BTYPG,22.18,High
4430-UZIPO,22.18,High
2101-RANCD,22.17,High
9903-LYSAB,22.17,High
5593-SUAOO,22.12,High
6421-SZVEM,22.12,High
8149-AIQCG,22.12,High
0021-IKXGC,22.1,High
7128-GGCNO,22.1,High
8406-LNMHF,22.08,High
0104-PPXDV,22.03,High
4360-QRAVE,22.03,High
7693-QPEFS,22.03,High
6603-YRDCJ,21.99,High
0254-WWRKD,21.97,High
3315-IKYZQ,21.96,High
8541-QVFKM,21.95,High
8232-CTLKO,21.93,High
4891-NLUBA,21.92,High
2868-LLSKM,21.89,High
1196-AMORA,21.89,High
6513-EECDB,21.89,High
8224-DWCKX,21.88,High
6221-AVQYL,21.87,High
1972-XMUWV,21.85,High
1832-PEUTS,21.82,High
0581-BXBUB,21.81,High
1977-STDKI,21.81,High
1907-UBQFC,21.81,High
6537-OTKMY,21.8,High
7517-SAWMO,21.8,High
1391-UBDAR,21.8,High
3911-RSNHI,21.77,High
0980-FEXWF,21.77,High
3926-YZVVX,21.77,High
4023-RTIQM,21.77,High
6360-SVNWV,21.73,High
5317-FLPJF,21.71,High
5777-KJIRB,21.71,High
5921-NGYRH,21.69,High
9830-ECLEN,21.64,High
2091-RFFBA,21.64,High
3428-MMGUB,21.63,High
0650-BWOZN,21.62,High
1450-SKCVI,21.61,High
3070-DVEYC,21.6,High
4652-NNHNY,21.59,High
2330-PQGDQ,21.58,High
0491-KAPQG,21.57,High
8473-VUVJN,21.54,High
2983-ZANRP,21.54,High
0122-OAHPZ,21.54,High
9747-DDZOS,21.53,High
7916-VCCPB,21.53,High
5108-ADXWO,21.52,High
3707-LRWZD,21.51,High
6896-SRVYQ,21.51,High
7603-USHJS,21.51,High
8873-GLDMH,21.51,High
0080-EMYVY,21.5,High
8034-RYTVV,21.5,High
0197-PNKNK,21.49,High
6390-DSAZX,21.49,High
8617-ENBDS,21.44,High
0531-ZZJWQ,21.43,High
2636-SJDOU,21.43,High
3055-OYMSE,21.4,High
7801-KICAO,21.4,High
6860-YRJZP,21.39,High
6347-DCUIK,21.39,High
0947-MUGVO,21.39,High
5188-HGMLP,21.38,High
9850-OWRHQ,21.38,High
4450-MDZFX,21.36,High
8496-EJAUI,21.35,High
3094-JOJAI,21.34,High
2405-LBMUW,21.28,High
8314-DPQHL,21.27,High
2272-QAGFO,21.27,High
8647-SDTWQ,21.27,High
7691-XVTZH,21.26,High
6599-CEBNN,21.26,High
6900-RBKER,21.25,High
2957-JIRMN,21.25,High
5908-QMGOE,21.24,High
2696-NARTR,21.24,High
1867-BDVFH,21.24,High
6682-VCIXC,21.24,High
0004-TLHLJ,21.23,High
4854-CIDCF,21.22,High
8871-JLMHM,21.21,High
3452-SRFEG,21.21,High
8372-JUXUI,21.21,High
6339-YPSAH,21.21,High
7341-LXCAF,21.21,High
2656-FMOKZ,21.21,High
8083-YTZES,21.2,High
8775-ERLNB,21.2,High
3002-WQZWT,21.2,High
0404-SWRVG,21.2,High
4585-HETAI,21.2,High
1833-VGRUM,21.2,High
5956-VKDTT,21.19,High
8685-WHQPW,21.19,High
9306-CPCBC,21.19,High
8699-ASUFO,21.19,High
8361-LTMKD,21.18,High
4860-IJUDE,21.18,High
3703-KBKZP,21.18,High
3707-GNWHM,21.18,High
1396-QWFBJ,21.17,High
1197-BVMVG,21.16,High
4415-IJZTP,21.16,High
3551-HUAZH,21.16,High
4102-OQUPX,21.16,High
7180-PISOG,21.16,High
0723-DRCLG,21.16,High
7823-JSOAG,21.15,High
3714-JTVOV,21.15,High
0709-TVGUR,21.15,High
3746-EUBYR,21.14,High
6022-UGGSO,21.14,High
6023-GSSXW,21.14,High
1094-BKOSX,21.13,High
9283-LZQOH,21.13,High
2982-IHMFT,21.13,High
5405-ZMYXQ,21.13,High
6680-WKXRZ,21.13,High
3397-AVTKU,21.11,High
3181-VTHOE,21.08,High
