customer_id,churn_score,risk_tier,recommended_action
5550-VFRLC,0.8432,High,Visita urgente - oferta de retencion personalizada
4102-OQUPX,0.8425,High,Visita urgente - oferta de retencion personalizada
0679-IDSTG,0.8423,High,Visita urgente - oferta de retencion personalizada
6358-LYNGM,0.8422,High,Visita urgente - oferta de retencion personalizada
1157-BQCUW,0.8418,High,Visita urgente - oferta de retencion personalizada
1285-OKIPP,0.8414,High,Visita urgente - oferta de retencion personalizada
2867-UIMSS,0.8414,High,Visita urgente - oferta de retencion personalizada
6960-HVYXR,0.8409,High,Visita urgente - oferta de retencion personalizada
2018-QKYGT,0.8408,High,Visita urgente - oferta de retencion personalizada
1069-XAIEM,0.8406,High,Visita urgente - oferta de retencion personalizada
5393-RXQSZ,0.8406,High,Visita urgente - oferta de retencion personalizada
5419-JPRRN,0.8404,High,Visita urgente - oferta de retencion personalizada
4510-HIMLV,0.8402,High,Visita urgente - oferta de retencion personalizada
4603-JANFB,0.8402,High,Visita urgente - oferta de retencion personalizada
3716-BDVDB,0.8401,High,Visita urgente - oferta de retencion personalizada
1452-VOQCH,0.8399,High,Visita urgente - oferta de retencion personalizada
5919-TMRGD,0.8398,High,Visita urgente - oferta de retencion personalizada
1833-VGRUM,0.8395,High,Visita urgente - oferta de retencion personalizada
9019-QVLZD,0.8394,High,Visita urgente - oferta de retencion personalizada
0723-DRCLG,0.8392,High,Visita urgente - oferta de retencion personalizada
9885-CSMWE,0.8391,High,Visita urgente - oferta de retencion personalizada
9787-XVQIU,0.839,High,Visita urgente - oferta de retencion personalizada
9282-IZGQK,0.8389,High,Visita urgente - oferta de retencion personalizada
3988-RQIXO,0.8388,High,Visita urgente - oferta de retencion personalizada
8945-GRKHX,0.8386,High,Visita urgente - oferta de retencion personalizada
2777-PHDEI,0.8384,High,Visita urgente - oferta de retencion personalizada
5834-ASPWA,0.8384,High,Visita urgente - oferta de retencion personalizada
7274-RTAPZ,0.8382,High,Visita urgente - oferta de retencion personalizada
6521-YYTYI,0.8378,High,Visita urgente - oferta de retencion personalizada
4826-XTSOH,0.8374,High,Visita urgente - oferta de retencion personalizada
9878-TNQGW,0.8373,High,Visita urgente - oferta de retencion personalizada
8603-IJWDN,0.8373,High,Visita urgente - oferta de retencion personalizada
0107-YHINA,0.8366,High,Visita urgente - oferta de retencion personalizada
1447-GIQMR,0.8365,High,Visita urgente - oferta de retencion personalizada
1143-NMNQJ,0.836,High,Visita urgente - oferta de retencion personalizada
5134-IKDAY,0.836,High,Visita urgente - oferta de retencion personalizada
7180-PISOG,0.8355,High,Visita urgente - oferta de retencion personalizada
4415-IJZTP,0.8349,High,Visita urgente - oferta de retencion personalizada
8372-JUXUI,0.8344,High,Visita urgente - oferta de retencion personalizada
3871-IKPYH,0.8344,High,Visita urgente - oferta de retencion personalizada
1448-PWKYE,0.8339,High,Visita urgente - oferta de retencion personalizada
8000-REIQB,0.8339,High,Visita urgente - oferta de retencion personalizada
8816-VXNZD,0.8338,High,Visita urgente - oferta de retencion personalizada
3068-OMWZA,0.8334,High,Visita urgente - oferta de retencion personalizada
8473-VUVJN,0.8333,High,Visita urgente - oferta de retencion personalizada
3177-LASXD,0.833,High,Visita urgente - oferta de retencion personalizada
2202-CUYXZ,0.8329,High,Visita urgente - oferta de retencion personalizada
9488-HGMJH,0.8328,High,Visita urgente - oferta de retencion personalizada
3878-AVSOQ,0.8328,High,Visita urgente - oferta de retencion personalizada
3276-HDUEG,0.8324,High,Visita urgente - oferta de retencion personalizada
7409-KIUTL,0.8319,High,Visita urgente - oferta de retencion personalizada
3049-NDXFL,0.8318,High,Visita urgente - oferta de retencion personalizada
9725-SCPZG,0.8317,High,Visita urgente - oferta de retencion personalizada
2725-KXXWT,0.8316,High,Visita urgente - oferta de retencion personalizada
9124-LHCJQ,0.8315,High,Visita urgente - oferta de retencion personalizada
5192-EBGOV,0.8313,High,Visita urgente - oferta de retencion personalizada
7120-RFMVS,0.8312,High,Visita urgente - oferta de retencion personalizada
3746-EUBYR,0.8312,High,Visita urgente - oferta de retencion personalizada
6513-EECDB,0.831,High,Visita urgente - oferta de retencion personalizada
9507-EXLTT,0.8309,High,Visita urgente - oferta de retencion personalizada
5597-GLBUC,0.8308,High,Visita urgente - oferta de retencion personalizada
1915-IOFGU,0.8308,High,Visita urgente - oferta de retencion personalizada
8775-ERLNB,0.8307,High,Visita urgente - oferta de retencion personalizada
7216-EWTRS,0.8307,High,Visita urgente - oferta de retencion personalizada
1846-XWOQN,0.8304,High,Visita urgente - oferta de retencion personalizada
9605-WGJVW,0.8304,High,Visita urgente - oferta de retencion personalizada
8644-XLFBW,0.8302,High,Visita urgente - oferta de retencion personalizada
1853-UDXBW,0.83,High,Visita urgente - oferta de retencion personalizada
4702-IOQDC,0.8299,High,Visita urgente - oferta de retencion personalizada
5275-SQEIZ,0.8299,High,Visita urgente - oferta de retencion personalizada
0328-GRPMV,0.8299,High,Visita urgente - oferta de retencion personalizada
8051-HJRLT,0.8296,High,Visita urgente - oferta de retencion personalizada
2262-SLNVK,0.8296,High,Visita urgente - oferta de retencion personalizada
5875-YPQFJ,0.8295,High,Visita urgente - oferta de retencion personalizada
9804-ICWBG,0.8295,High,Visita urgente - oferta de retencion personalizada
5542-TBBWB,0.8295,High,Visita urgente - oferta de retencion personalizada
9603-OAIHC,0.8295,High,Visita urgente - oferta de retencion personalizada
6372-RFVNS,0.8288,High,Visita urgente - oferta de retencion personalizada
4424-TKOPW,0.8282,High,Visita urgente - oferta de retencion personalizada
3494-JCHRQ,0.8277,High,Visita urgente - oferta de retencion personalizada
7153-OANIO,0.8274,High,Visita urgente - oferta de retencion personalizada
4806-HIPDW,0.8267,High,Visita urgente - oferta de retencion personalizada
4912-PIGUY,0.8265,High,Visita urgente - oferta de retencion personalizada
3722-WPXTK,0.8263,High,Visita urgente - oferta de retencion personalizada
2982-IHMFT,0.8262,High,Visita urgente - oferta de retencion personalizada
1031-IIDEO,0.8261,High,Visita urgente - oferta de retencion personalizada
8884-ADFVN,0.826,High,Visita urgente - oferta de retencion personalizada
4759-TRPLW,0.8259,High,Visita urgente - oferta de retencion personalizada
5583-SXDAG,0.825,High,Visita urgente - oferta de retencion personalizada
1981-INRFU,0.8248,High,Visita urgente - oferta de retencion personalizada
6653-CBBOM,0.8246,High,Visita urgente - oferta de retencion personalizada
1640-PLFMP,0.8246,High,Visita urgente - oferta de retencion personalizada
3244-DCJWY,0.8246,High,Visita urgente - oferta de retencion personalizada
8380-PEFPE,0.8244,High,Visita urgente - oferta de retencion personalizada
3422-LYEPQ,0.8244,High,Visita urgente - oferta de retencion personalizada
5797-APWZC,0.8242,High,Visita urgente - oferta de retencion personalizada
7294-TMAOP,0.8239,High,Visita urgente - oferta de retencion personalizada
5186-SAMNZ,0.8238,High,Visita urgente - oferta de retencion personalizada
7503-ZGUZJ,0.8237,High,Visita urgente - oferta de retencion personalizada
2656-TABEH,0.8235,High,Visita urgente - oferta de retencion personalizada
1363-TXLSL,0.8231,High,Visita urgente - oferta de retencion personalizada
4822-RVYBB,0.8225,High,Visita urgente - oferta de retencion personalizada
0259-GBZSH,0.8224,High,Visita urgente - oferta de retencion personalizada
2446-PLQVO,0.8223,High,Visita urgente - oferta de retencion personalizada
9681-OXGVC,0.8219,High,Visita urgente - oferta de retencion personalizada
7450-NWRTR,0.8218,High,Visita urgente - oferta de retencion personalizada
6474-FVJLC,0.8218,High,Visita urgente - oferta de retencion personalizada
1455-ESIQH,0.8218,High,Visita urgente - oferta de retencion personalizada
2720-WGKHP,0.8215,High,Visita urgente - oferta de retencion personalizada
9305-CDSKC,0.8213,High,Visita urgente - oferta de retencion personalizada
0781-LKXBR,0.8213,High,Visita urgente - oferta de retencion personalizada
6618-RYATB,0.8212,High,Visita urgente - oferta de retencion personalizada
4110-PFEUZ,0.8208,High,Visita urgente - oferta de retencion personalizada
7851-WZEKY,0.8207,High,Visita urgente - oferta de retencion personalizada
4501-EQDRN,0.8203,High,Visita urgente - oferta de retencion personalizada
6230-BSUXY,0.8203,High,Visita urgente - oferta de retencion personalizada
8040-MNRTF,0.8202,High,Visita urgente - oferta de retencion personalizada
0511-JTEOY,0.8202,High,Visita urgente - oferta de retencion personalizada
0519-XUZJU,0.8191,High,Visita urgente - oferta de retencion personalizada
4695-WJZUE,0.8187,High,Visita urgente - oferta de retencion personalizada
0151-ONTOV,0.8186,High,Visita urgente - oferta de retencion personalizada
4078-SAYYN,0.8186,High,Visita urgente - oferta de retencion personalizada
3707-GNWHM,0.8182,High,Visita urgente - oferta de retencion personalizada
8775-LHDJH,0.818,High,Visita urgente - oferta de retencion personalizada
0754-UKWQP,0.8177,High,Visita urgente - oferta de retencion personalizada
2012-NWRPA,0.8176,High,Visita urgente - oferta de retencion personalizada
4234-XTNEA,0.8175,High,Visita urgente - oferta de retencion personalizada
7493-TPUWZ,0.8175,High,Visita urgente - oferta de retencion personalizada
6086-ESGRL,0.8168,High,Visita urgente - oferta de retencion personalizada
7024-OHCCK,0.8166,High,Visita urgente - oferta de retencion personalizada
8821-XNHVZ,0.8165,High,Visita urgente - oferta de retencion personalizada
2034-GDRCN,0.8161,High,Visita urgente - oferta de retencion personalizada
0697-ZMSWS,0.8161,High,Visita urgente - oferta de retencion personalizada
8593-WHYHV,0.8152,High,Visita urgente - oferta de retencion personalizada
0021-IKXGC,0.8151,High,Visita urgente - oferta de retencion personalizada
9223-UCPVT,0.815,High,Visita urgente - oferta de retencion personalizada
5376-DEQCP,0.8145,High,Visita urgente - oferta de retencion personalizada
8086-OVPWV,0.8144,High,Visita urgente - oferta de retencion personalizada
8168-UQWWF,0.8144,High,Visita urgente - oferta de retencion personalizada
5884-GCYMI,0.8129,High,Visita urgente - oferta de retencion personalizada
6688-UZPWD,0.8126,High,Visita urgente - oferta de retencion personalizada
0655-RBDUG,0.8123,High,Visita urgente - oferta de retencion personalizada
7908-QCBCA,0.8122,High,Visita urgente - oferta de retencion personalizada
6857-VWJDT,0.8118,High,Visita urgente - oferta de retencion personalizada
4192-GORJT,0.8117,High,Visita urgente - oferta de retencion personalizada
2789-HQBOU,0.8116,High,Visita urgente - oferta de retencion personalizada
3319-DWOEP,0.8116,High,Visita urgente - oferta de retencion personalizada
8357-EQXFO,0.8108,High,Visita urgente - oferta de retencion personalizada
4445-ZJNMU,0.8106,High,Visita urgente - oferta de retencion personalizada
2462-XIIJB,0.8103,High,Visita urgente - oferta de retencion personalizada
0220-EBGCE,0.8101,High,Visita urgente - oferta de retencion personalizada
7465-ZZRVX,0.8101,High,Visita urgente - oferta de retencion personalizada
8098-LLAZX,0.8097,High,Visita urgente - oferta de retencion personalizada
3158-MOERK,0.8093,High,Visita urgente - oferta de retencion personalizada
0637-KVDLV,0.8093,High,Visita urgente - oferta de retencion personalizada
6424-ELEYH,0.8086,High,Visita urgente - oferta de retencion personalizada
6210-KBBPI,0.8083,High,Visita urgente - oferta de retencion personalizada
0968-GSIKN,0.8082,High,Visita urgente - oferta de retencion personalizada
8183-ONMXC,0.8068,High,Visita urgente - oferta de retencion personalizada
3027-ZTDHO,0.8067,High,Visita urgente - oferta de retencion personalizada
5567-WSELE,0.8065,High,Visita urgente - oferta de retencion personalizada
6910-HADCM,0.8063,High,Visita urgente - oferta de retencion personalizada
9057-SIHCH,0.8061,High,Visita urgente - oferta de retencion personalizada
9546-CQJSU,0.8053,High,Visita urgente - oferta de retencion personalizada
0812-WUPTB,0.8048,High,Visita urgente - oferta de retencion personalizada
7548-SEPYI,0.8038,High,Visita urgente - oferta de retencion personalizada
3902-FOIGH,0.8038,High,Visita urgente - oferta de retencion personalizada
4626-GYCZP,0.8027,High,Visita urgente - oferta de retencion personalizada
7576-OYWBN,0.8025,High,Visita urgente - oferta de retencion personalizada
2968-SSGAA,0.8023,High,Visita urgente - oferta de retencion personalizada
6892-EZDTG,0.8023,High,Visita urgente - oferta de retencion personalizada
2612-RRIDN,0.8022,High,Visita urgente - oferta de retencion personalizada
4713-LZDRV,0.8011,High,Visita urgente - oferta de retencion personalizada
1393-IMKZG,0.8007,High,Visita urgente - oferta de retencion personalizada
9444-JTXHZ,0.8007,High,Visita urgente - oferta de retencion personalizada
2856-HYAPG,0.8007,High,Visita urgente - oferta de retencion personalizada
3178-FESZO,0.7999,High,Visita urgente - oferta de retencion personalizada
1084-UQCHV,0.7998,High,Visita urgente - oferta de retencion personalizada
5032-MIYKT,0.7998,High,Visita urgente - oferta de retencion personalizada
1415-YFWLT,0.7996,High,Visita urgente - oferta de retencion personalizada
9317-WZPGV,0.7991,High,Visita urgente - oferta de retencion personalizada
2645-QTLMB,0.7987,High,Visita urgente - oferta de retencion personalizada
3198-VELRD,0.7985,High,Visita urgente - oferta de retencion personalizada
7228-OMTPN,0.7984,High,Visita urgente - oferta de retencion personalizada
2619-WFQWU,0.7983,High,Visita urgente - oferta de retencion personalizada
9985-MWVIX,0.7983,High,Visita urgente - oferta de retencion personalizada
8042-JVNFH,0.7982,High,Visita urgente - oferta de retencion personalizada
3049-SOLAY,0.7982,High,Visita urgente - oferta de retencion personalizada
3066-RRJIO,0.7981,High,Visita urgente - oferta de retencion personalizada
8739-XNIKG,0.7975,High,Visita urgente - oferta de retencion personalizada
6772-KSATR,0.7974,High,Visita urgente - oferta de retencion personalizada
8414-MYSHR,0.7972,High,Visita urgente - oferta de retencion personalizada
2254-DLXRI,0.7972,High,Visita urgente - oferta de retencion personalizada
3318-NMQXL,0.7972,High,Visita urgente - oferta de retencion personalizada
3006-XIMLN,0.797,High,Visita urgente - oferta de retencion personalizada
0684-AOSIH,0.797,High,Visita urgente - oferta de retencion personalizada
0970-ETWGE,0.797,High,Visita urgente - oferta de retencion personalizada
6140-QNRQQ,0.7966,High,Visita urgente - oferta de retencion personalizada
6356-ELRKD,0.7963,High,Visita urgente - oferta de retencion personalizada
6416-TVAIH,0.7959,High,Visita urgente - oferta de retencion personalizada
0235-KGSLC,0.7955,High,Visita urgente - oferta de retencion personalizada
7571-YXDAD,0.7954,High,Visita urgente - oferta de retencion personalizada
0325-XBFAC,0.7954,High,Visita urgente - oferta de retencion personalizada
9897-KXHCM,0.795,High,Visita urgente - oferta de retencion personalizada
0564-JJHGS,0.7946,High,Visita urgente - oferta de retencion personalizada
7577-SWIFR,0.7943,High,Visita urgente - oferta de retencion personalizada
3585-ISXZP,0.794,High,Visita urgente - oferta de retencion personalizada
1678-FYZOW,0.794,High,Visita urgente - oferta de retencion personalizada
9850-OWRHQ,0.7937,High,Visita urgente - oferta de retencion personalizada
1273-MTETI,0.7935,High,Visita urgente - oferta de retencion personalizada
0137-OCGAB,0.7933,High,Visita urgente - oferta de retencion personalizada
6023-YEBUP,0.7927,High,Visita urgente - oferta de retencion personalizada
5167-ZFFMM,0.7927,High,Visita urgente - oferta de retencion personalizada
1086-LXKFY,0.7926,High,Visita urgente - oferta de retencion personalizada
3387-VATUS,0.7925,High,Visita urgente - oferta de retencion personalizada
7563-BIUPC,0.7925,High,Visita urgente - oferta de retencion personalizada
6108-OQZDQ,0.7922,High,Visita urgente - oferta de retencion personalizada
9734-YWGEX,0.7922,High,Visita urgente - oferta de retencion personalizada
9837-BMCLM,0.792,High,Visita urgente - oferta de retencion personalizada
6861-XWTWQ,0.7919,High,Visita urgente - oferta de retencion personalizada
6996-KNSML,0.7917,High,Visita urgente - oferta de retencion personalizada
5835-BEQEU,0.7917,High,Visita urgente - oferta de retencion personalizada
0390-DCFDQ,0.7915,High,Visita urgente - oferta de retencion personalizada
6161-UUUTA,0.7902,High,Visita urgente - oferta de retencion personalizada
5277-ZLOOR,0.7901,High,Visita urgente - oferta de retencion personalizada
1455-UGQVH,0.7901,High,Visita urgente - oferta de retencion personalizada
9689-PTNPG,0.79,High,Visita urgente - oferta de retencion personalizada
5564-NEMQO,0.7899,High,Visita urgente - oferta de retencion personalizada
7526-BEZQB,0.7899,High,Visita urgente - oferta de retencion personalizada
2545-EBUPK,0.7896,High,Visita urgente - oferta de retencion personalizada
4844-JJWUY,0.7894,High,Visita urgente - oferta de retencion personalizada
2074-GKOWZ,0.7889,High,Visita urgente - oferta de retencion personalizada
4927-WWOOZ,0.7889,High,Visita urgente - oferta de retencion personalizada
8779-QRDMV,0.7878,High,Visita urgente - oferta de retencion personalizada
7234-FECYN,0.7877,High,Visita urgente - oferta de retencion personalizada
2865-TCHJW,0.7876,High,Visita urgente - oferta de retencion personalizada
4529-CKBCL,0.7875,High,Visita urgente - oferta de retencion personalizada
0897-FEGMU,0.7872,High,Visita urgente - oferta de retencion personalizada
5168-MSWXT,0.7865,High,Visita urgente - oferta de retencion personalizada
3296-SILRA,0.7863,High,Visita urgente - oferta de retencion personalizada
7330-WZLNC,0.7862,High,Visita urgente - oferta de retencion personalizada
4228-ZGYUW,0.7861,High,Visita urgente - oferta de retencion personalizada
7903-CMPEY,0.7859,High,Visita urgente - oferta de retencion personalizada
7760-OYPDY,0.7856,High,Visita urgente - oferta de retencion personalizada
3811-VBYBZ,0.7852,High,Visita urgente - oferta de retencion personalizada
5940-AHUHD,0.7851,High,Visita urgente - oferta de retencion personalizada
4750-ZRXIU,0.7844,High,Visita urgente - oferta de retencion personalizada
0094-OIFMO,0.7842,High,Visita urgente - oferta de retencion personalizada
7779-LGOVN,0.7834,High,Visita urgente - oferta de retencion personalizada
4806-KEXQR,0.783,High,Visita urgente - oferta de retencion personalizada
5380-AFSSK,0.7829,High,Visita urgente - oferta de retencion personalizada
6877-TJMBR,0.7829,High,Visita urgente - oferta de retencion personalizada
2737-YNGYW,0.7826,High,Visita urgente - oferta de retencion personalizada
0187-QSXOE,0.7826,High,Visita urgente - oferta de retencion personalizada
7817-BOQPW,0.7822,High,Visita urgente - oferta de retencion personalizada
1941-HOSAM,0.7821,High,Visita urgente - oferta de retencion personalizada
4952-YSOGZ,0.7821,High,Visita urgente - oferta de retencion personalizada
4143-OOBWZ,0.7817,High,Visita urgente - oferta de retencion personalizada
3776-EKTKM,0.7812,High,Visita urgente - oferta de retencion personalizada
1122-JWTJW,0.7811,High,Visita urgente - oferta de retencion personalizada
7943-RQCHR,0.7811,High,Visita urgente - oferta de retencion personalizada
1062-LHZOD,0.781,High,Visita urgente - oferta de retencion personalizada
8258-GSTJK,0.7809,High,Visita urgente - oferta de retencion personalizada
9050-IKDZA,0.7805,High,Visita urgente - oferta de retencion personalizada
9451-LPGOO,0.7802,High,Visita urgente - oferta de retencion personalizada
5698-BQJOH,0.78,High,Visita urgente - oferta de retencion personalizada
7181-BQYBV,0.7798,High,Visita urgente - oferta de retencion personalizada
2024-BASKD,0.7793,High,Visita urgente - oferta de retencion personalizada
1628-BIZYP,0.7793,High,Visita urgente - oferta de retencion personalizada
3643-AHCFP,0.7793,High,Visita urgente - oferta de retencion personalizada
1374-DMZUI,0.7792,High,Visita urgente - oferta de retencion personalizada
4273-MBHYA,0.779,High,Visita urgente - oferta de retencion personalizada
0404-SWRVG,0.7786,High,Visita urgente - oferta de retencion personalizada
8309-IEYJD,0.7784,High,Visita urgente - oferta de retencion personalizada
4951-UKAAQ,0.7775,High,Visita urgente - oferta de retencion personalizada
2754-VDLTR,0.7773,High,Visita urgente - oferta de retencion personalizada
4548-SDBKE,0.7764,High,Visita urgente - oferta de retencion personalizada
2642-DTVCO,0.7763,High,Visita urgente - oferta de retencion personalizada
6015-VVHHE,0.7757,High,Visita urgente - oferta de retencion personalizada
9940-RHLFB,0.7756,High,Visita urgente - oferta de retencion personalizada
2929-ERCFZ,0.7752,High,Visita urgente - oferta de retencion personalizada
5052-PNLOS,0.7751,High,Visita urgente - oferta de retencion personalizada
8972-HJWNV,0.7751,High,Visita urgente - oferta de retencion personalizada
1977-STDKI,0.7749,High,Visita urgente - oferta de retencion personalizada
9061-TIHDA,0.7745,High,Visita urgente - oferta de retencion personalizada
9944-HKVVB,0.7744,High,Visita urgente - oferta de retencion personalizada
0515-YPMCW,0.7743,High,Visita urgente - oferta de retencion personalizada
8058-JMEQO,0.7742,High,Visita urgente - oferta de retencion personalizada
5043-TRZWM,0.7741,High,Visita urgente - oferta de retencion personalizada
7479-NITWS,0.7733,High,Visita urgente - oferta de retencion personalizada
3398-FSHON,0.773,High,Visita urgente - oferta de retencion personalizada
1010-DIAUQ,0.7721,High,Visita urgente - oferta de retencion personalizada
3801-HMYNL,0.7719,High,Visita urgente - oferta de retencion personalizada
5318-IXUZF,0.7715,High,Visita urgente - oferta de retencion personalizada
3765-JXVKY,0.7715,High,Visita urgente - oferta de retencion personalizada
4285-GYRQC,0.7709,High,Visita urgente - oferta de retencion personalizada
6941-PMGEP,0.7708,High,Visita urgente - oferta de retencion personalizada
4274-OWWYO,0.7704,High,Visita urgente - oferta de retencion personalizada
3191-CSNMG,0.7703,High,Visita urgente - oferta de retencion personalizada
5561-NWEVX,0.7702,High,Visita urgente - oferta de retencion personalizada
4145-UQXUQ,0.7701,High,Visita urgente - oferta de retencion personalizada
6326-MTTXK,0.7699,High,Visita urgente - oferta de retencion personalizada
3834-XUIFC,0.7696,High,Visita urgente - oferta de retencion personalizada
5196-SGOAK,0.7695,High,Visita urgente - oferta de retencion personalizada
2485-ITVKB,0.7691,High,Visita urgente - oferta de retencion personalizada
9399-APLBT,0.7688,High,Visita urgente - oferta de retencion personalizada
1768-ZAIFU,0.7681,High,Visita urgente - oferta de retencion personalizada
1320-HTRDR,0.7676,High,Visita urgente - oferta de retencion personalizada
7398-SKNQZ,0.7675,High,Visita urgente - oferta de retencion personalizada
3091-FYHKI,0.767,High,Visita urgente - oferta de retencion personalizada
0841-NULXI,0.767,High,Visita urgente - oferta de retencion personalizada
9617-INGJY,0.7667,High,Visita urgente - oferta de retencion personalizada
0822-GAVAP,0.7666,High,Visita urgente - oferta de retencion personalizada
5419-CONWX,0.7664,High,Visita urgente - oferta de retencion personalizada
0742-NXBGR,0.7663,High,Visita urgente - oferta de retencion personalizada
3389-YGYAI,0.7662,High,Visita urgente - oferta de retencion personalizada
9747-DDZOS,0.766,High,Visita urgente - oferta de retencion personalizada
7341-LXCAF,0.7659,High,Visita urgente - oferta de retencion personalizada
2013-SGDXK,0.7657,High,Visita urgente - oferta de retencion personalizada
8337-UPOAQ,0.7655,High,Visita urgente - oferta de retencion personalizada
2077-MPJQO,0.7653,High,Visita urgente - oferta de retencion personalizada
5159-YFPKQ,0.7648,High,Visita urgente - oferta de retencion personalizada
2516-VQRRV,0.7644,High,Visita urgente - oferta de retencion personalizada
0023-HGHWL,0.764,High,Visita urgente - oferta de retencion personalizada
5054-IEXZT,0.7639,High,Visita urgente - oferta de retencion personalizada
3908-BLSYF,0.7636,High,Visita urgente - oferta de retencion personalizada
1400-MMYXY,0.7633,High,Visita urgente - oferta de retencion personalizada
8699-ASUFO,0.7628,High,Visita urgente - oferta de retencion personalizada
9172-ANCRX,0.7622,High,Visita urgente - oferta de retencion personalizada
2868-SNELZ,0.7617,High,Visita urgente - oferta de retencion personalizada
1724-BQUHA,0.7613,High,Visita urgente - oferta de retencion personalizada
2920-RNCEZ,0.7612,High,Visita urgente - oferta de retencion personalizada
8361-LTMKD,0.7597,High,Visita urgente - oferta de retencion personalizada
6357-JJPQT,0.7596,High,Visita urgente - oferta de retencion personalizada
7235-NXZCP,0.7595,High,Visita urgente - oferta de retencion personalizada
1980-KXVPM,0.7594,High,Visita urgente - oferta de retencion personalizada
9965-YOKZB,0.7591,High,Visita urgente - oferta de retencion personalizada
2982-VPSGI,0.7588,High,Visita urgente - oferta de retencion personalizada
6969-MVBAI,0.7587,High,Visita urgente - oferta de retencion personalizada
5445-UTODQ,0.7584,High,Visita urgente - oferta de retencion personalizada
0195-IESCP,0.7582,High,Visita urgente - oferta de retencion personalizada
5570-PTWEH,0.7582,High,Visita urgente - oferta de retencion personalizada
9565-DJPIB,0.7578,High,Visita urgente - oferta de retencion personalizada
7089-IVVAZ,0.7575,High,Visita urgente - oferta de retencion personalizada
4581-SSPWD,0.757,High,Visita urgente - oferta de retencion personalizada
7295-JOMMD,0.7568,High,Visita urgente - oferta de retencion personalizada
7598-UAASY,0.7567,High,Visita urgente - oferta de retencion personalizada
6275-YDUVO,0.7565,High,Visita urgente - oferta de retencion personalizada
3097-NQYSN,0.7564,High,Visita urgente - oferta de retencion personalizada
6110-OHIHY,0.7563,High,Visita urgente - oferta de retencion personalizada
8382-SHQEH,0.756,High,Visita urgente - oferta de retencion personalizada
0871-URUWO,0.7559,High,Visita urgente - oferta de retencion personalizada
1465-VINDH,0.7558,High,Visita urgente - oferta de retencion personalizada
