customer_id,churn_score,risk_tier,monthly_potential_eur,upsell_priority,anomaly_score,is_anomaly,churn_norm,potential_norm,anomaly_norm,commercial_priority_score,commercial_segment,recommended_action,priority_tier
4603-JANFB,0.8402,High,25.57,High,0.4869,0,0.9810058535419902,0.48891014,0.4869,0.7346,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1452-VOQCH,0.8399,High,20.4,High,0.6358,1,0.980647473420141,0.39005736,0.6358,0.7345,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9787-XVQIU,0.839,High,20.34,High,0.6382,1,0.9795723330545932,0.38891014,0.6382,0.7341,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3177-LASXD,0.833,High,24.57,High,0.5331,0,0.9724047306176083,0.46978968,0.5331,0.7338,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0723-DRCLG,0.8392,High,21.16,High,0.611,1,0.9798112531358261,0.4045889,0.611,0.7335,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6960-HVYXR,0.8409,High,19.61,Medium,0.6505,1,0.9818420738263051,0.37495223,0.6505,0.7335,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
5834-ASPWA,0.8384,High,20.17,High,0.6405,1,0.9788555728108949,0.38565966,0.6405,0.7332,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1833-VGRUM,0.8395,High,21.2,High,0.6065,1,0.9801696332576754,0.40535375,0.6065,0.733,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2609-IAICY,0.8442,High,19.12,Medium,0.6523,1,0.9857842551666467,0.36558318,0.6523,0.733,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
5134-IKDAY,0.836,High,25.57,High,0.4877,0,0.9759885318361008,0.48891014,0.4877,0.7322,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3878-AVSOQ,0.8328,High,24.57,High,0.5246,0,0.9721658105363756,0.46978968,0.5246,0.7319,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7180-PISOG,0.8355,High,21.16,High,0.6137,1,0.9753912316330188,0.4045889,0.6137,0.7318,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8380-PEFPE,0.8244,High,24.55,High,0.5485,0,0.9621311671245969,0.46940726,0.5485,0.7316,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4415-IJZTP,0.8349,High,21.16,High,0.6137,1,0.9746744713893203,0.4045889,0.6137,0.7315,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8372-JUXUI,0.8344,High,21.21,High,0.611,1,0.9740771711862383,0.4055449,0.611,0.7309,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8816-VXNZD,0.8338,High,20.39,High,0.6358,1,0.9733604109425398,0.38986614,0.6358,0.7308,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9488-HGMJH,0.8328,High,24.57,High,0.5172,0,0.9721658105363756,0.46978968,0.5172,0.7305,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5186-SAMNZ,0.8238,High,25.83,High,0.5051,0,0.9614144068808983,0.49388146,0.5051,0.7299,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3276-HDUEG,0.8324,High,20.38,High,0.6351,1,0.97168797037391,0.38967493,0.6351,0.7298,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3746-EUBYR,0.8312,High,21.14,High,0.6168,1,0.9702544498865131,0.40420648,0.6168,0.7297,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8000-REIQB,0.8339,High,25.42,High,0.4822,0,0.9734798709831561,0.48604208,0.4822,0.729,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6513-EECDB,0.831,High,21.89,High,0.5917,0,0.9700155298052802,0.41854683,0.5917,0.7289,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8473-VUVJN,0.8333,High,21.54,High,0.595,0,0.9727631107394578,0.4118547,0.595,0.7289,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8775-ERLNB,0.8307,High,21.2,High,0.6118,1,0.9696571496834309,0.40535375,0.6118,0.7288,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9850-OWRHQ,0.7937,High,21.38,High,0.7148,1,0.9254569346553577,0.4087954,0.7148,0.7283,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9804-ICWBG,0.8295,High,25.57,High,0.4861,0,0.968223629196034,0.48891014,0.4861,0.728,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5875-YPQFJ,0.8295,High,25.57,High,0.4861,0,0.968223629196034,0.48891014,0.4861,0.728,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5542-TBBWB,0.8295,High,25.57,High,0.4861,0,0.968223629196034,0.48891014,0.4861,0.728,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4581-SSPWD,0.757,High,19.8,Medium,0.8669,1,0.881615099749134,0.37858507,0.8669,0.7278,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
1853-UDXBW,0.83,High,25.43,High,0.4878,0,0.968820929399116,0.4862333,0.4878,0.7278,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7409-KIUTL,0.8319,High,24.59,High,0.5044,0,0.9710906701708278,0.4701721,0.5044,0.7275,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9603-OAIHC,0.8295,High,25.43,High,0.487,0,0.968223629196034,0.4862333,0.487,0.7274,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7576-OYWBN,0.8025,High,19.68,Medium,0.7326,1,0.9359694182296022,0.37629065,0.7326,0.7274,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
4110-PFEUZ,0.8208,High,25.83,High,0.5002,0,0.957830605662406,0.49388146,0.5002,0.7271,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1846-XWOQN,0.8304,High,25.3,High,0.4862,0,0.9692987695615817,0.4837476,0.4862,0.727,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4702-IOQDC,0.8299,High,25.3,High,0.487,0,0.9687014693584995,0.4837476,0.487,0.7269,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0328-GRPMV,0.8299,High,25.3,High,0.487,0,0.9687014693584995,0.4837476,0.487,0.7269,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2262-SLNVK,0.8296,High,25.3,High,0.487,0,0.9683430892366504,0.4837476,0.487,0.7267,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3494-JCHRQ,0.8277,High,25.43,High,0.487,0,0.9660733484649385,0.4862333,0.487,0.7263,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9605-WGJVW,0.8304,High,25.21,High,0.4831,0,0.9692987695615817,0.48202676,0.4831,0.7259,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1915-IOFGU,0.8308,High,25.1,High,0.4854,0,0.9697766097240473,0.47992355,0.4854,0.7259,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2982-IHMFT,0.8262,High,21.13,High,0.611,1,0.9642814478556924,0.40401527,0.611,0.7255,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5884-GCYMI,0.8129,High,25.99,High,0.5107,0,0.9483932624537093,0.49694073,0.5107,0.7254,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7153-OANIO,0.8274,High,25.43,High,0.4822,0,0.9657149683430893,0.4862333,0.4822,0.7252,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7908-QCBCA,0.8122,High,25.98,High,0.5107,0,0.9475570421693944,0.49674952,0.5107,0.7249,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5583-SXDAG,0.825,High,25.43,High,0.4878,0,0.9628479273682953,0.4862333,0.4878,0.7249,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1031-IIDEO,0.8261,High,24.85,High,0.5012,0,0.9641619878150758,0.4751434,0.5012,0.7249,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4501-EQDRN,0.8203,High,25.7,High,0.4913,0,0.957233305459324,0.4913958,0.4913,0.7243,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4759-TRPLW,0.8259,High,25.1,High,0.4879,0,0.9639230677338431,0.47992355,0.4879,0.7235,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8051-HJRLT,0.8296,High,24.85,High,0.4828,0,0.9683430892366504,0.4751434,0.4828,0.7233,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6653-CBBOM,0.8246,High,25.21,High,0.4869,0,0.9623700872058297,0.48202676,0.4869,0.7232,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2856-HYAPG,0.8007,High,26.4,High,0.5237,0,0.9338191374985068,0.5047801,0.5237,0.7231,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3422-LYEPQ,0.8244,High,24.6,High,0.5044,0,0.9621311671245969,0.4703633,0.5044,0.7231,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8040-MNRTF,0.8202,High,24.55,High,0.5172,0,0.9571138454187075,0.46940726,0.5172,0.7228,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0511-JTEOY,0.8202,High,24.55,High,0.5172,0,0.9571138454187075,0.46940726,0.5172,0.7228,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3244-DCJWY,0.8246,High,25.21,High,0.484,0,0.9623700872058297,0.48202676,0.484,0.7226,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1640-PLFMP,0.8246,High,25.21,High,0.484,0,0.9623700872058297,0.48202676,0.484,0.7226,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1363-TXLSL,0.8231,High,25.21,High,0.4869,0,0.9605781865965836,0.48202676,0.4869,0.7223,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2446-PLQVO,0.8223,High,25.21,High,0.4869,0,0.9596225062716522,0.48202676,0.4869,0.7218,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6416-TVAIH,0.7959,High,26.41,High,0.5271,0,0.928085055548919,0.5049713,0.5271,0.721,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3707-GNWHM,0.8182,High,21.18,High,0.61,1,0.9547246446063793,0.40497133,0.61,0.7209,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3370-HXOPH,0.7251,High,19.65,Medium,0.9309,1,0.843507346792498,0.375717,0.9309,0.7206,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
0151-ONTOV,0.8186,High,24.83,High,0.5012,0,0.9552024847688448,0.474761,0.5012,0.7203,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0404-SWRVG,0.7786,High,21.2,High,0.725,1,0.9074184685222793,0.40535375,0.725,0.7203,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8258-GSTJK,0.7809,High,19.19,Medium,0.7698,1,0.9101660494564568,0.36692163,0.7698,0.7191,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
0519-XUZJU,0.8191,High,24.83,High,0.4932,0,0.955799784971927,0.474761,0.4932,0.719,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4713-LZDRV,0.8011,High,15.85,Medium,0.8018,1,0.9342969776609725,0.30305928,0.8018,0.7184,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
7571-YXDAD,0.7954,High,20.43,High,0.6827,1,0.9274877553458368,0.390631,0.6827,0.7175,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5376-DEQCP,0.8145,High,24.85,High,0.4898,0,0.9503046231035719,0.4751434,0.4898,0.7157,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1086-LXKFY,0.7926,High,26.23,High,0.5155,0,0.9241428742085772,0.50152963,0.5155,0.7156,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7465-ZZRVX,0.8101,High,25.21,High,0.4887,0,0.9450483813164497,0.48202676,0.4887,0.7149,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0685-MLYYM,0.7298,High,24.99,High,0.7316,1,0.8491219687014694,0.47782028,0.7316,0.7142,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2516-VQRRV,0.7644,High,20.22,High,0.7619,1,0.8904551427547486,0.38661566,0.7619,0.7136,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5835-BEQEU,0.7917,High,19.13,Medium,0.7114,1,0.9230677338430295,0.36577436,0.7114,0.7135,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
0925-VYDLG,0.7381,High,20.41,High,0.8333,1,0.8590371520726318,0.39024857,0.8333,0.7133,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6140-QNRQQ,0.7966,High,24.53,High,0.5393,0,0.9289212758332338,0.46902487,0.5393,0.713,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8042-JVNFH,0.7982,High,24.56,High,0.5331,0,0.9308326364830964,0.46959847,0.5331,0.7129,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0968-GSIKN,0.8082,High,24.83,High,0.4956,0,0.9427786405447378,0.474761,0.4956,0.7129,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0021-IKXGC,0.8151,High,22.1,High,0.55,0,0.9510213833472704,0.42256215,0.55,0.7123,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0812-WUPTB,0.8048,High,24.84,High,0.5012,0,0.9387169991637797,0.47495222,0.5012,0.7121,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1084-UQCHV,0.7998,High,25.71,High,0.4886,0,0.932743997132959,0.49158698,0.4886,0.7116,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5482-PLVPE,0.7235,High,34.0,High,0.4774,0,0.8415959861426353,0.6500956,0.4774,0.7113,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7235-NXZCP,0.7595,High,20.48,High,0.7535,1,0.8846016007645442,0.391587,0.7535,0.7105,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2619-WFQWU,0.7983,High,25.28,High,0.4862,0,0.9309520965237129,0.4833652,0.4862,0.7077,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9985-MWVIX,0.7983,High,25.28,High,0.4862,0,0.9309520965237129,0.4833652,0.4862,0.7077,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3066-RRJIO,0.7981,High,25.41,High,0.4822,0,0.9307131764424801,0.48585087,0.4822,0.7076,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5032-MIYKT,0.7998,High,24.83,High,0.4924,0,0.932743997132959,0.474761,0.4924,0.7073,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8993-PHFWD,0.6948,High,33.52,High,0.5498,0,0.8073109544857245,0.6409178,0.5498,0.7059,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1320-HTRDR,0.7676,High,20.01,High,0.7142,1,0.8942778640544737,0.3826004,0.7142,0.7048,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8086-OVPWV,0.8144,High,15.58,Medium,0.6989,1,0.9501851630629555,0.29789674,0.6989,0.7042,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
0390-DCFDQ,0.7915,High,25.08,High,0.4854,0,0.9228288137617967,0.47954112,0.4854,0.7024,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5570-PTWEH,0.7582,High,20.32,High,0.7124,1,0.8830486202365309,0.38852772,0.7124,0.7006,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1062-LHZOD,0.781,High,25.55,High,0.4861,0,0.9102855094970733,0.48852772,0.4861,0.6989,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5940-AHUHD,0.7851,High,24.84,High,0.4898,0,0.9151833711623463,0.47495222,0.4898,0.698,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1122-JWTJW,0.7811,High,24.84,High,0.4916,0,0.9104049695376897,0.47495222,0.4916,0.696,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8309-IEYJD,0.7784,High,24.83,High,0.4898,0,0.9071795484410464,0.474761,0.4898,0.694,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9878-TNQGW,0.8373,High,14.78,Medium,0.6004,0,0.9775415123641142,0.28260037,0.6004,0.6936,Retain_Urgent,Visita urgente - oferta de retencion,High
1768-ZAIFU,0.7681,High,33.52,High,0.2673,0,0.8948751642575559,0.6409178,0.2673,0.6932,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6680-WKXRZ,0.749,High,21.13,High,0.6795,1,0.8720582964998208,0.40401527,0.6795,0.6931,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4234-XTNEA,0.8175,High,15.38,Medium,0.6395,1,0.9538884243220643,0.29407266,0.6395,0.6931,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
1618-CFHME,0.7497,High,19.61,Medium,0.7172,1,0.8728945167841358,0.37495223,0.7172,0.6924,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
0515-YPMCW,0.7743,High,25.09,High,0.4854,0,0.9022816867757735,0.47973233,0.4854,0.6921,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0023-HGHWL,0.764,High,33.55,High,0.2708,0,0.8899773025922829,0.6414914,0.2708,0.6916,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9237-HQITU,0.7021,High,25.0,High,0.6804,1,0.8160315374507227,0.4780115,0.6804,0.6875,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3677-IYRBF,0.6684,High,28.63,High,0.6761,1,0.7757735037629913,0.5474187,0.6761,0.6873,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9617-INGJY,0.7667,High,24.84,High,0.4898,0,0.8932027236889262,0.47495222,0.4898,0.687,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7932-WPTDS,0.7545,High,33.77,High,0.2691,0,0.8786285987337236,0.6456979,0.2691,0.6868,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0822-GAVAP,0.7666,High,23.34,High,0.5305,0,0.8930832636483096,0.4462715,0.5305,0.6865,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2737-YNGYW,0.7826,High,15.18,Medium,0.7154,1,0.9121968701469358,0.29024857,0.7154,0.6863,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
2920-RNCEZ,0.7612,High,25.4,High,0.4822,0,0.8866324214550233,0.48565966,0.4822,0.6855,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4629-NRXKX,0.7126,High,25.17,High,0.6325,1,0.8285748417154463,0.48126197,0.6325,0.6852,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8676-TRMJS,0.7115,High,20.37,High,0.7712,1,0.8272607812686656,0.38948378,0.7712,0.6847,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2789-HQBOU,0.8116,High,15.49,Medium,0.6104,1,0.9468402819256959,0.2961759,0.6104,0.6844,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
9799-CAYJJ,0.6586,High,26.01,High,0.7645,1,0.7640664197825827,0.49732316,0.7645,0.6841,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8835-VSDSE,0.7414,High,24.9,High,0.5387,0,0.8629793334129733,0.47609943,0.5387,0.6821,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0612-RTZZA,0.7475,High,33.52,High,0.2695,0,0.8702663958905746,0.6409178,0.2695,0.6813,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
